name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Thomas Dickson-Peters,Norwich,Aston Villa,,True,0,,0,0.0,0,0,0.0,0,0.0,0.0,Norwich,True,Arsenal,,
Thomas Dickson-Peters,Norwich,Arsenal,2021-12-26,True,0,2.43,0,0.0,0,15780,0.0,0,0.0,0.0,Norwich,False,Crystal Palace,,
Thomas Dickson-Peters,Norwich,Crystal Palace,2021-12-28,False,0,0.62,0,0.0,0,15092,0.0,0,0.0,0.0,Norwich,False,West Ham,,
Thomas Dickson-Peters,Norwich,West Ham,,False,0,,0,0.0,0,8857,0.0,0,0.0,0.0,Norwich,True,Everton,,
Thomas Dickson-Peters,Norwich,Everton,,True,0,,0,0.0,0,5495,0.0,0,0.0,0.0,Norwich,False,Watford,,
Thomas Dickson-Peters,Norwich,Watford,,False,0,,0,0.0,0,5029,0.0,0,0.0,0.0,Norwich,True,Crystal Palace,,
Thomas Dickson-Peters,Norwich,Crystal Palace,,True,0,,0,0.0,0,4593,0.0,0,0.0,0.0,Norwich,True,Manchester City,,
Thomas Dickson-Peters,Norwich,Manchester City,,True,0,,0,0.0,0,4379,0.0,0,0.0,0.0,Norwich,False,Liverpool,,
Thomas Dickson-Peters,Norwich,Liverpool,,False,0,,0,0.0,0,4065,0.0,0,0.0,0.0,Norwich,False,Southampton,,
Thomas Dickson-Peters,Norwich,Southampton,,False,0,,0,0.0,0,3813,0.0,0,0.0,0.0,Norwich,True,Brentford,,
Thomas Dickson-Peters,Norwich,Brentford,2022-03-05,True,0,0.36,0,0.0,0,3628,0.0,0,0.0,0.0,Norwich,True,Chelsea,,
Thomas Dickson-Peters,Norwich,Chelsea,,True,0,,0,0.0,0,3628,0.0,0,0.0,0.0,Norwich,False,Leicester City,,
Thomas Dickson-Peters,Norwich,Leicester City,2022-03-13,False,0,0.55,0,0.0,0,3500,0.0,0,0.0,0.0,Norwich,False,Brighton,,
Thomas Dickson-Peters,Norwich,Brighton,2022-04-02,False,0,1.08,0,0.0,0,3357,0.0,0,0.0,0.0,Norwich,True,Burnley,,
Thomas Dickson-Peters,Norwich,Burnley,2022-04-10,True,0,0.88,0,0.0,0,3321,0.0,0,0.0,0.0,Norwich,False,Manchester United,,
Thomas Dickson-Peters,Norwich,Manchester United,,False,0,,0,0.0,0,3240,0.0,0,0.0,0.0,Norwich,True,Newcastle United,,
Thomas Dickson-Peters,Norwich,Newcastle United,2022-04-23,True,0,0.24,0,0.0,0,3188,0.0,0,0.0,0.0,Norwich,False,Aston Villa,,
Thomas Dickson-Peters,Norwich,Aston Villa,,False,0,,0,0.0,0,3135,0.0,0,0.0,0.0,Norwich,True,West Ham,,
Thomas Dickson-Peters,Norwich,West Ham,2022-05-08,True,0,1.47,0,0.0,0,3071,0.0,0,0.0,0.0,Norwich,False,Leeds United,,
Thomas Dickson-Peters,Norwich,Leeds United,2022-05-11,False,0,2.57,0,0.0,0,3071,0.0,0,0.0,0.0,Norwich,False,Wolverhampton,,
Thomas Dickson-Peters,Norwich,Wolverhampton,2022-05-15,False,0,2.27,0,0.0,0,3016,0.0,0,0.0,0.0,Norwich,True,Tottenham,,
Thomas Dickson-Peters,Norwich,Tottenham,2022-05-22,True,0,3.42,0,0.0,0,2950,0.0,0,0.0,,Brentford,False,Leeds United,,
