name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Chris Wood,Burnley,Brighton,2021-08-14,True,90,0.0,0.11,0.0,0.09,2,3.0,1.0,4.1,0,2.03,2.0,0.11,90.0,2.0,Burnley,False,Liverpool,,
Chris Wood,Burnley,Liverpool,2021-08-21,False,74,0.0,0.07,0.0,0.0,2,1.0,0.0,4.0,0,1.71,2.0,0.09,82.0,9.0,Burnley,True,Leicester City,,
Chris Wood,Burnley,Leicester City,2021-08-29,True,90,1.0,1.34,0.0,0.08,9,3.0,3.0,13.7,3,1.41,4.33,0.51,84.67,2.0,Burnley,False,Everton,,
Chris Wood,Burnley,Everton,2021-09-13,False,85,0.0,0.54,0.0,0.0,2,3.0,0.0,5.3,0,1.28,3.75,0.51,84.75,2.0,Burnley,True,Arsenal,,
Chris Wood,Burnley,Arsenal,2021-09-18,True,81,0.0,0.04,0.0,0.07,2,1.0,1.0,1.9,0,1.25,3.4,0.42,84.0,2.0,Burnley,False,Leeds United,,
Chris Wood,Burnley,Leeds United,2021-09-25,False,90,0.0,0.09,0.0,0.0,2,1.0,0.0,2.9,0,1.08,3.4,0.42,85.0,1.0,Burnley,True,Norwich,,
Chris Wood,Burnley,Norwich,2021-10-02,True,79,0.0,0.17,0.0,0.01,1,3.0,1.0,4.5,0,1.37,3.2,0.43,84.14,2.0,Burnley,False,Manchester City,,
Chris Wood,Burnley,Manchester City,2021-10-16,False,81,0.0,0.53,0.0,0.0,2,1.0,0.0,0.4,0,1.03,1.8,0.27,83.75,2.0,Burnley,False,Southampton,,
Chris Wood,Burnley,Southampton,2021-10-23,False,90,0.0,0.11,0.0,0.0,2,1.0,0.0,2.2,0,0.98,1.8,0.19,84.44,6.0,Burnley,True,Brentford,,
Chris Wood,Burnley,Brentford,2021-10-30,True,90,1.0,0.7,0.0,0.0,6,5.0,0.0,11.3,0,0.96,2.6,0.32,85.0,2.0,Burnley,False,Chelsea,,
Chris Wood,Burnley,Chelsea,2021-11-06,False,60,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0,0.95,2.6,0.3,82.73,6.0,Burnley,True,Crystal Palace,,
Chris Wood,Burnley,Crystal Palace,2021-11-20,True,79,1.0,0.06,0.0,0.0,6,1.0,0.0,4.8,0,1.01,3.6,0.28,82.42,1.0,Burnley,False,Wolverhampton,,
Chris Wood,Burnley,Wolverhampton,2021-12-01,False,58,0.0,0.07,0.0,0.02,1,1.0,1.0,1.7,0,1.01,3.4,0.19,80.54,2.0,Burnley,False,Newcastle United,,
Chris Wood,Burnley,Newcastle United,2021-12-04,False,90,0.0,0.0,0.0,0.04,2,0.0,1.0,1.7,0,1.08,3.4,0.17,81.21,1.0,Burnley,True,West Ham,,
Chris Wood,Burnley,West Ham,2021-12-12,True,59,0.0,0.08,0.0,0.0,1,1.0,0.0,0.8,0,1.03,2.4,0.04,79.73,2.0,Burnley,False,Manchester United,,
Chris Wood,Burnley,Manchester United,2021-12-30,False,90,0.0,0.38,0.0,0.08,2,3.0,1.0,5.8,0,1.18,2.4,0.12,80.38,2.0,Burnley,False,Leicester City,,
Chris Wood,Burnley,Leicester City,2022-01-02,False,83,0.0,0.69,0.0,0.0,2,2.0,0.0,4.3,0,1.12,1.6,0.24,80.53,2.0,Newcastle,True,Watford,,
Chris Wood,Newcastle,Watford,2022-01-15,True,90,0.0,0.27,0.0,0.0,2,3.0,0.0,4.6,0,1.17,1.8,0.28,81.06,2.0,Newcastle,False,Leicester City,,
Chris Wood,Newcastle,Leicester City,2022-01-22,False,90,0.0,0.18,0.0,0.15,2,3.0,2.0,7.7,0,1.27,1.8,0.32,81.53,2.0,Newcastle,True,Everton,,
Chris Wood,Newcastle,Everton,2022-02-08,True,90,0.0,0.42,0.0,0.0,2,2.0,0.0,4.7,0,1.4,2.0,0.39,81.95,2.0,Newcastle,True,Aston Villa,,
Chris Wood,Newcastle,Aston Villa,2022-02-13,True,90,0.0,0.09,0.0,0.02,2,2.0,1.0,2.2,0,1.32,2.0,0.33,82.33,2.0,Newcastle,False,West Ham,,
Chris Wood,Newcastle,West Ham,2022-02-19,False,90,0.0,0.0,0.0,0.05,2,0.0,2.0,3.6,0,1.21,2.0,0.19,82.68,2.0,Newcastle,False,Brentford,,
Chris Wood,Newcastle,Brentford,2022-02-26,False,90,0.0,0.53,0.0,0.1,2,4.0,2.0,11.2,0,1.42,2.0,0.24,83.0,2.0,Newcastle,True,Brighton,,
Chris Wood,Newcastle,Brighton,2022-03-05,True,90,0.0,0.0,0.0,0.51,2,0.0,1.0,2.8,0,1.96,2.0,0.21,83.29,8.0,Newcastle,False,Southampton,,
Chris Wood,Newcastle,Southampton,2022-03-10,False,90,1.0,0.29,0.0,0.0,8,1.0,0.0,6.0,2,1.96,3.2,0.18,83.56,2.0,Newcastle,False,Chelsea,,
Chris Wood,Newcastle,Chelsea,2022-03-13,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,0.7,0,2.59,3.2,0.16,83.81,2.0,Newcastle,False,Everton,,
Chris Wood,Newcastle,Everton,2022-03-17,False,90,0.0,0.15,0.0,0.07,2,2.0,1.0,4.3,0,2.59,3.2,0.2,84.04,2.0,Newcastle,False,Tottenham,,
Chris Wood,Newcastle,Tottenham,2022-04-03,False,69,0.0,0.07,0.0,0.0,2,1.0,0.0,0.7,0,1.83,3.2,0.1,83.5,9.0,Newcastle,True,Wolverhampton,,
Chris Wood,Newcastle,Wolverhampton,2022-04-08,True,90,1.0,0.76,0.0,0.08,9,1.0,1.0,6.7,3,1.86,4.6,0.26,83.72,2.0,Newcastle,True,Leeds United,,
Chris Wood,Newcastle,Leeds United,2022-04-17,True,68,0.0,0.08,0.0,0.0,2,1.0,0.0,1.4,0,5.26,3.4,0.21,83.2,2.0,Newcastle,True,Crystal Palace,,
Chris Wood,Newcastle,Crystal Palace,2022-04-20,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.0,0,5.26,3.4,0.21,83.42,0.0,Newcastle,False,Norwich,,
Chris Wood,Newcastle,Norwich,,False,0,,,,,0,,,0.0,0,4.15,3.0,0.18,80.81,1.0,Newcastle,True,Liverpool,,
Chris Wood,Newcastle,Liverpool,2022-04-30,True,23,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,2.82,2.8,0.17,79.06,2.0,Newcastle,False,Manchester City,,
Chris Wood,Newcastle,Manchester City,2022-05-08,False,67,0.0,0.4,0.0,0.0,2,1.0,0.0,2.1,0,1.87,1.4,0.1,78.71,0.0,Newcastle,True,Arsenal,,
Chris Wood,Newcastle,Arsenal,,True,0,,,,,0,,,0.0,0,1.74,1.0,0.08,76.46,1.0,Newcastle,False,Burnley,,
