name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Ollie Watkins,Aston Villa,Watford,,False,0,,,,,0,,,0.0,0,0.0,0.0,0.0,0.0,Aston Villa,True,Newcastle United,,
Ollie Watkins,Aston Villa,Newcastle United,,True,0,,,,,0,,,0.0,0,0.0,0.0,0.0,1.0,Aston Villa,True,Brentford,,
Ollie Watkins,Aston Villa,Brentford,2021-08-28,True,11,0.0,0.09,0.0,0.0,1,2.0,0.0,4.0,0,0.33,0.03,3.67,2.0,Aston Villa,False,Chelsea,,
Ollie Watkins,Aston Villa,Chelsea,2021-09-11,False,90,0.0,0.78,0.0,0.03,2,6.0,2.0,16.2,0,0.75,0.22,25.25,2.0,Aston Villa,True,Everton,,
Ollie Watkins,Aston Villa,Everton,2021-09-18,True,90,0.0,0.0,0.0,0.04,2,0.0,1.0,2.5,0,1.0,0.17,38.2,2.0,Aston Villa,False,Manchester United,,
Ollie Watkins,Aston Villa,Manchester United,2021-09-25,False,90,0.0,0.41,0.0,0.0,2,2.0,0.0,3.8,0,1.4,0.26,46.83,6.0,Aston Villa,False,Tottenham,,
Ollie Watkins,Aston Villa,Tottenham,2021-10-03,False,90,1.0,0.71,0.0,0.0,6,3.0,0.0,8.2,0,2.6,0.4,53.0,4.0,Aston Villa,True,Wolverhampton,,
Ollie Watkins,Aston Villa,Wolverhampton,2021-10-16,True,90,0.0,0.13,0.0,0.04,4,2.0,1.0,7.9,0,3.2,0.41,57.62,1.0,Aston Villa,False,Arsenal,,
Ollie Watkins,Aston Villa,Arsenal,2021-10-22,False,90,0.0,0.72,0.0,0.0,1,3.0,0.0,4.3,0,3.0,0.4,61.22,7.0,Aston Villa,True,West Ham,,
Ollie Watkins,Aston Villa,West Ham,2021-10-31,True,90,1.0,0.48,0.0,0.0,7,2.0,0.0,8.1,1,4.0,0.49,64.1,2.0,Aston Villa,False,Southampton,,
