name,team,opponent_team,was_home,minutes,total_points,ict_index,bonus,clean_sheets,goals_conceded,starts,next_week_points,next_team,next_was_home,next_opponent_team,next_week_fixture_difficulty
Gonçalo Manuel Ganchinho Guedes,Wolves,Manchester United,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Newcastle United,-0.98
Gonçalo Manuel Ganchinho Guedes,Wolves,Newcastle United,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Sheffield,-0.53
Gonçalo Manuel Ganchinho Guedes,Wolves,Sheffield,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Tottenham,-0.94
Gonçalo Manuel Ganchinho Guedes,Wolves,Tottenham,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Fulham,-1.47
Gonçalo Manuel Ganchinho Guedes,Wolves,Fulham,False,0,0,0.0,0,0,0,False,0.0,Wolves,False,Arsenal,1.72
Gonçalo Manuel Ganchinho Guedes,Wolves,Arsenal,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Burnley,-0.76
Gonçalo Manuel Ganchinho Guedes,Wolves,Burnley,True,0,0,0.0,0,0,0,False,0.0,Wolves,True,Nottingham Forest,-0.48
Gonçalo Manuel Ganchinho Guedes,Wolves,Nottingham Forest,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,West Ham,3.01
Gonçalo Manuel Ganchinho Guedes,Wolves,West Ham,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Chelsea,-2.49
Gonçalo Manuel Ganchinho Guedes,Wolves,Chelsea,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Brentford,-2.66
Gonçalo Manuel Ganchinho Guedes,Wolves,Brentford,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Brighton,0.86
Gonçalo Manuel Ganchinho Guedes,Wolves,Brighton,True,0,0,0.0,0,0,0,False,0.0,Wolves,True,Everton,-2.28
Gonçalo Manuel Ganchinho Guedes,Wolves,Everton,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Brighton,0.59
Gonçalo Manuel Ganchinho Guedes,Wolves,Brighton,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Manchester United,0.06
Gonçalo Manuel Ganchinho Guedes,Wolves,Manchester United,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Chelsea,-1.76
Gonçalo Manuel Ganchinho Guedes,Wolves,Chelsea,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Brentford,1.37
Gonçalo Manuel Ganchinho Guedes,Wolves,Brentford,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Tottenham,-2.61
Gonçalo Manuel Ganchinho Guedes,Wolves,Tottenham,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Sheffield,-0.53
Gonçalo Manuel Ganchinho Guedes,Wolves,Sheffield,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Newcastle United,2.58
Gonçalo Manuel Ganchinho Guedes,Wolves,Newcastle United,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Fulham,-0.51
Gonçalo Manuel Ganchinho Guedes,Wolves,Fulham,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Everton,-1.6
Gonçalo Manuel Ganchinho Guedes,Wolves,Everton,False,0,0,0.0,0,0,0,False,0.0,Wolves,False,Aston Villa,-0.08
Gonçalo Manuel Ganchinho Guedes,Wolves,Aston Villa,False,0,0,0.0,0,0,0,False,0.0,Wolves,False,Burnley,0.99
Gonçalo Manuel Ganchinho Guedes,Wolves,Burnley,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,West Ham,-1.01
Gonçalo Manuel Ganchinho Guedes,Wolves,West Ham,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Nottingham Forest,0.01
Gonçalo Manuel Ganchinho Guedes,Wolves,Nottingham Forest,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Arsenal,2.09
Gonçalo Manuel Ganchinho Guedes,Wolves,Arsenal,True,0,0,0.0,0,0,0,False,0.0,Wolves,True,Bournemouth,2.85
Gonçalo Manuel Ganchinho Guedes,Wolves,Bournemouth,True,0,0,0.0,0,0,0,False,0.0,Wolves,True,Luton,-3.07
Gonçalo Manuel Ganchinho Guedes,Wolves,Luton,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Manchester City,3.31
Gonçalo Manuel Ganchinho Guedes,Wolves,Manchester City,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Crystal Palace,0.91
Gonçalo Manuel Ganchinho Guedes,Wolves,Crystal Palace,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Liverpool,1.68
Gonçalo Manuel Ganchinho Guedes,Wolves,Liverpool,False,0,0,0.0,0,0,0,False,0.0,Wolves,False,Crystal Palace,1.56
Gonçalo Manuel Ganchinho Guedes,Wolves,Crystal Palace,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Liverpool,-2.02
Gonçalo Manuel Ganchinho Guedes,Wolves,Liverpool,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Luton,-1.71
Gonçalo Manuel Ganchinho Guedes,Wolves,Luton,False,0,0,0.0,0,0,0,False,0.0,Wolves,True,Manchester City,1.61
Gonçalo Manuel Ganchinho Guedes,Wolves,Manchester City,True,0,0,0.0,0,0,0,False,0.0,Wolves,True,Aston Villa,-1.57
Gonçalo Manuel Ganchinho Guedes,Wolves,Aston Villa,True,0,0,0.0,0,0,0,False,0.0,Wolves,False,Bournemouth,0.02
Gonçalo Manuel Ganchinho Guedes,Wolves,Bournemouth,False,0,0,0.0,0,0,0,False,,,,,
