h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
a,1.52404,0.987365,1.52404,0.987365,16.095238095238095,7.470588235294118,6,14,2,4,1.7849,l,2020-09-20 18:00:00,0,0,1,0,0.536675,0.5,0.8,0.6730889139292323,0.25197106319491597,0.4229041398852719,0.22123413791626817,0.4166666666666667,0.6086956521739131
h,0.347136,0.706632,0.347136,0.706632,8.214285714285714,13.75,9,6,0,1,0.8712,l,2020-09-26 19:00:00,0,0,1,0,-0.359496,0.0,0.2,0.1360759125459801,0.14069611796373743,0.13694795770267465,0.573222518806115,0.6666666666666666,0.2608695652173913
a,0.438849,1.95629,0.438849,1.19512,9.416666666666666,20.75,10,4,1,3,0.2522999999999999,l,2020-10-03 19:00:00,0,0,1,0,-0.7562709999999999,0.25,0.6,0.17792390813088949,0.6360266473553804,0.1805757135945815,0.9656030089784031,0.75,0.17391304347826086
a,1.08532,0.731692,1.08532,0.731692,13.31578947368421,8.25,2,3,0,0,1.6791,d,2020-10-19 16:30:00,0,1,0,1,0.353628,0.0,0.0,0.472904069654032,0.15062922211427665,0.3220533190741731,0.2649235622421742,0.08333333333333333,0.13043478260869565
h,0.95045,0.797344,0.95045,0.797344,14.869565217391305,9.777777777777779,4,6,0,1,1.4596,l,2020-10-26 20:00:00,0,0,1,0,0.1531059999999999,0.0,0.2,0.4113638391028916,0.17665189384975963,0.37843124881681073,0.35056216128771334,0.25,0.2608695652173913
h,0.407341,1.23077,0.407341,1.23077,16.923076923076923,8.956521739130435,1,12,0,3,0.6019,l,2020-10-31 15:00:00,0,0,1,0,-0.823429,0.0,0.6,0.16354702977243077,0.34845020189252185,0.4529418332030814,0.30452718314465677,0.0,0.5217391304347826
a,0.326933,1.59022,0.326933,1.59022,13.85,10.045454545454545,2,16,0,0,0.4023,d,2020-11-06 17:30:00,0,1,0,1,-1.263287,0.0,0.0,0.12685742601951247,0.490926430420508,0.34143686502177073,0.36556661004610524,0.08333333333333333,0.6956521739130435
h,1.75343,1.28331,1.75343,1.28331,11.590909090909092,16.0,7,7,1,0,1.7437999999999998,w,2020-11-23 17:30:00,1,0,0,3,0.4701200000000001,0.25,0.0,0.7777579543839374,0.369275632541737,0.2594669481461935,0.6993448192186362,0.5,0.30434782608695654
a,0.419877,2.26129,0.419877,2.26129,32.0,8.4375,4,13,0,5,0.2558,l,2020-11-28 15:00:00,0,0,1,0,-1.8414129999999995,0.0,1.0,0.1692671182293826,0.7569203730502913,1.0,0.2754337539432177,0.25,0.5652173913043478
h,0.730434,2.28139,0.730434,2.28139,16.391304347826086,7.5,6,10,1,1,0.3051,d,2020-12-05 12:30:00,0,1,0,1,-1.550956,0.25,0.2,0.3109720887882206,0.7648874677600216,0.43364674701836303,0.22288279543800046,0.4166666666666667,0.43478260869565216
a,0.815375,1.85362,0.815375,1.85362,14.85,9.5,3,11,1,0,0.6237,w,2020-12-13 19:15:00,1,0,0,3,-1.038245,0.25,0.0,0.34973006849641664,0.5953310446763753,0.3777213352685051,0.3349915069157971,0.16666666666666666,0.4782608695652174
a,0.316737,1.81142,0.316737,1.81142,5.774193548387097,5.285714285714286,1,9,0,0,0.3368,d,2020-12-17 18:00:00,0,1,0,1,-1.494683,0.0,0.0,0.12220506307223415,0.5786041095146534,0.0484105061098366,0.09876243630186847,0.0,0.391304347826087
h,1.20465,1.45722,1.20465,0.696055,14.055555555555555,4.55,6,4,2,1,1.1299,w,2020-12-21 17:30:00,1,0,0,3,0.508595,0.5,0.2,0.527353507717853,0.4382088385601042,0.34889533946137724,0.05752244600825041,0.4166666666666667,0.17391304347826086
a,1.54591,2.13271,1.54591,1.37154,11.954545454545455,10.214285714285714,10,6,0,1,0.8887,l,2020-12-27 12:00:00,0,0,1,0,0.1743699999999999,0.0,0.2,0.683068040808104,0.7059547492802859,0.27266130096318775,0.3750303324435816,0.75,0.2608695652173913
h,0.973831,0.492578,0.973831,0.492578,12.4,8.210526315789474,7,3,1,0,1.847,w,2020-12-29 18:00:00,1,0,0,3,0.481253,0.25,0.0,0.42203242463352264,0.05585091940669323,0.2888243831640058,0.26271089030511247,0.5,0.13043478260869565
h,0.648582,1.23996,0.648582,1.23996,10.92,8.722222222222221,5,15,0,1,0.8648,l,2021-01-12 22:15:00,0,0,1,0,-0.591378,0.0,0.2,0.2736235980113841,0.3520928685782144,0.2351233671988389,0.2913936746744317,0.3333333333333333,0.6521739130434783
a,0.395668,1.73397,0.395668,1.73397,9.157894736842104,9.619047619047619,5,4,0,1,0.3484,l,2021-01-16 15:00:00,0,0,1,0,-1.338302,0.0,0.2,0.15822072213379013,0.5479050306455684,0.17118631120617214,0.34166464450376116,0.3333333333333333,0.17391304347826086
a,1.08059,1.64907,0.319419,1.64907,28.90909090909091,8.714285714285714,4,20,1,0,0.9484,w,2021-01-21 20:00:00,1,0,0,3,-1.329651,0.25,0.0,0.4707458039870422,0.5142529738865589,0.8878480010555483,0.2909487988352341,0.25,0.8695652173913043
