h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
a,1.10119,0.88917,1.10119,0.88917,10.647058823529411,9.285714285714286,9,5,1,2,1.5274,l,2022-08-06 14:00:00,0,0,1,0,0.2120199999999998,0.3333333333333333,0.3333333333333333,0.33365560481819917,0.16256177384412562,0.17832340919055767,0.2216661011197829,0.6153846153846154,0.1875
h,0.975375,1.08813,0.975375,0.326966,11.733333333333333,14.714285714285714,1,2,0,0,1.1558,d,2022-08-13 14:00:00,0,1,0,1,0.648409,0.0,0.0,0.28322452662367303,0.22391852405806936,0.20966578504448183,0.5708913018889266,0.0,0.0
a,0.686123,1.46608,0.686123,1.46608,20.642857142857142,11.6,6,8,0,1,0.708,l,2022-08-20 11:30:00,0,0,1,0,-0.779957,0.0,0.16666666666666666,0.16728214908583525,0.34047352879952514,0.4667330745714973,0.37054631828978624,0.38461538461538464,0.375
h,1.13248,1.93362,1.13248,1.93362,18.923076923076923,9.461538461538462,3,13,1,1,0.8057000000000001,d,2022-08-28 13:00:00,0,1,0,1,-0.80114,0.3333333333333333,0.16666666666666666,0.346197737606076,0.48465695760444694,0.41711210165165447,0.23297703879651627,0.15384615384615385,0.6875
a,1.53246,0.362035,1.53246,0.362035,6.833333333333333,17.61111111111111,14,7,0,0,2.3577000000000004,d,2022-08-31 18:30:00,0,1,0,1,1.1704249999999998,0.0,0.0,0.5065237929750428,0.0,0.0682856455878817,0.7572468549309405,1.0,0.3125
h,1.10039,1.20838,1.10039,1.20838,9.368421052631579,7.517241379310345,8,12,1,0,1.2716,w,2022-09-03 14:00:00,1,0,0,3,-0.10799,0.3333333333333333,0.0,0.33333493667405406,0.26100210474376867,0.1414307589121879,0.10789854478936307,0.5384615384615384,0.625
h,0.310995,1.4242,0.310995,1.4242,18.217391304347824,14.333333333333334,4,8,0,3,0.4089,l,2022-09-17 11:30:00,0,0,1,0,-1.1132049999999998,0.0,0.5,0.016917649614737275,0.3275582659378445,0.39675089120503465,0.5463842702560043,0.23076923076923078,0.375
a,0.575988,1.03934,0.575988,1.03934,20.2,21.384615384615383,10,4,0,2,0.9389,l,2022-10-01 16:30:00,0,0,1,0,-0.4633519999999999,0.0,0.3333333333333333,0.1231361665165539,0.20887230450168456,0.4539552777109882,1.0,0.6923076923076923,0.125
a,0.748449,2.43092,0.748449,2.43092,39.125,11.291666666666666,4,11,0,3,0.3646999999999999,l,2022-10-08 14:00:00,0,0,1,0,-1.682471,0.0,0.5,0.1922646025258228,0.6380179944027693,1.0,0.3507109395618897,0.23076923076923078,0.5625
h,1.22368,1.24761,0.462512,0.486443,10.5,9.6,5,3,1,0,1.2896999999999998,w,2022-10-15 14:00:00,1,0,0,3,-0.023931,0.3333333333333333,0.0,0.3827539060386221,0.2731001410872197,0.17408030776629,0.2418844022169438,0.3076923076923077,0.0625
