date,deep,deep_allowed,draws,h_a,loses,missed,npxG,npxGA,npxGD,ppda,ppda_allowed,pts,result,scored,wins,xG,xGA,xpts,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
2019-08-10 15:00:00,0,9,0,h,0,0,0.909241,1.08752,-0.178279,9.277777777777779,5.5,3,w,3,1,0.909241,1.08752,1.1422,1.0,0.0,0.2661173389168406,0.34662455009463816,0.08402261985145174,0.0681458003169572,0.0,0.47368421052631576
2019-08-17 12:30:00,4,8,0,a,1,2,1.39172,1.1644,0.2273199999999999,11.384615384615385,5.3125,0,l,1,0,1.39172,1.1644,1.5631000000000002,0.3333333333333333,0.4,0.41220449143228927,0.3747055115096147,0.13683581779462942,0.0598256735340729,0.23529411764705882,0.42105263157894735
2019-08-25 16:30:00,4,4,1,a,0,1,1.22762,0.56676,0.6608599999999999,14.619047619047619,11.833333333333334,1,d,1,0,1.22762,1.32793,1.2223,0.3333333333333333,0.2,0.3625175584719218,0.4344359956432141,0.21791501880968456,0.3491811938721606,0.23529411764705882,0.21052631578947367
2019-08-31 17:30:00,0,11,0,h,1,3,0.61739,1.20057,-0.5831799999999999,16.263157894736842,6.208333333333333,0,l,0,0,0.61739,1.20057,0.8487,0.0,0.6,0.17774938601363405,0.38791685873099474,0.25912878922491916,0.09957739038563126,0.0,0.5789473684210527
2019-09-14 14:00:00,4,13,1,a,0,1,0.341654,1.68545,-1.3437959999999998,12.1,3.9642857142857144,1,d,1,0,0.341654,1.68545,0.3291,0.3333333333333333,0.2,0.09426080498523744,0.5650226934200404,0.15476873733963536,0.0,0.23529411764705882,0.6842105263157895
2019-09-21 14:00:00,7,9,0,h,0,0,2.39312,0.801428,1.591692,11.68,14.9,3,w,2,1,2.39312,0.801428,2.5163,0.6666666666666666,0.0,0.7154128684372374,0.24212743233795922,0.14424037812288992,0.4852614896988907,0.4117647058823529,0.47368421052631576
2019-09-28 14:00:00,2,3,1,a,0,2,1.66919,0.914266,0.7549239999999999,9.045454545454545,6.05,1,d,2,0,1.66919,0.914266,1.9909,0.6666666666666666,0.4,0.49621810074681183,0.2833423064813402,0.07819885212694125,0.09255150554675118,0.11764705882352941,0.15789473684210525
2019-10-05 15:00:00,6,4,0,h,0,0,0.558912,1.30723,-0.7483179999999999,19.5,7.8,3,w,1,1,0.558912,1.30723,0.6769000000000001,0.3333333333333333,0.0,0.1600431552661851,0.4268751748668091,0.3402683997299122,0.17020602218700476,0.35294117647058826,0.21052631578947367
2019-10-19 15:00:00,3,6,0,a,1,2,1.79569,0.8291,0.96659,15.2,7.6,0,l,1,0,1.79569,0.8291,2.1660999999999997,0.3333333333333333,0.4,0.5345203373067539,0.25223482521354756,0.23247805536799457,0.16133122028526148,0.17647058823529413,0.3157894736842105
2019-10-26 17:30:00,8,6,0,h,1,4,2.23494,0.988321,1.246619,15.96,10.473684210526315,0,l,2,0,2.23494,0.988321,2.3316,0.6666666666666666,0.8,0.6675184195909794,0.3103914167517107,0.2515293720459149,0.28884811076820416,0.47058823529411764,0.3157894736842105
2019-11-02 15:00:00,3,6,0,a,1,3,0.716613,2.58392,-1.867307,8.5,17.714285714285715,0,l,0,0,0.716613,2.58392,0.2598,0.0,0.6,0.2077925703471291,0.8931951882498271,0.06452565833896017,0.6101426307448494,0.17647058823529413,0.3157894736842105
2019-11-09 15:00:00,5,5,0,h,0,0,2.4158,0.474281,1.941519,9.083333333333334,5.708333333333333,3,w,3,1,2.4158,0.474281,2.6809000000000003,1.0,0.0,0.7222800204149408,0.12263468670807709,0.07914837947332885,0.0773903856312731,0.29411764705882354,0.2631578947368421
2019-11-23 15:00:00,2,5,0,a,0,0,1.90164,0.902384,0.999256,11.625,5.947368421052632,3,w,3,1,2.66281,0.902384,2.6123,1.0,0.0,0.7970708145072037,0.2790023223042752,0.14286166441593517,0.0879973308866461,0.11764705882352941,0.2631578947368421
2019-11-30 15:00:00,5,6,0,h,1,2,1.8509,0.936732,0.914168,8.375,7.291666666666667,0,l,0,0,1.8509,0.936732,2.0956,0.0,0.4,0.5512370683776977,0.29154817119451476,0.06139221809588116,0.14764923402007396,0.29411764705882354,0.3157894736842105
2019-12-03 20:15:00,3,13,0,h,1,4,0.486548,2.56057,-2.074022,25.9375,11.2,0,l,1,0,0.486548,2.56057,0.1641,0.3333333333333333,0.8,0.13813245924702586,0.8846664363112253,0.5016405722484808,0.3210776545166402,0.17647058823529413,0.6842105263157895
2019-12-07 15:00:00,1,3,0,a,1,5,1.08645,2.39684,-1.3103900000000002,11.296296296296296,11.0,0,l,0,0,1.08645,2.39684,0.4508,0.0,1.0,0.3197734736089414,0.8248629007691584,0.13462187711006074,0.312202852614897,0.058823529411764705,0.15789473684210525
