h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
h,1.64248,0.568342,1.64248,0.568342,12.590909090909092,7.242424242424242,8,3,5,1,2.2181,w,2021-08-14 11:30:00,1,0,0,3,1.074138,1.0,0.2,0.5316920456804899,0.08670542990736879,0.12703021064301553,0.06145152745894401,0.42105263157894735,0.11764705882352941
a,2.26173,0.587526,2.26173,0.587526,9.066666666666666,8.870967741935484,11,3,1,1,2.58,d,2021-08-22 13:00:00,0,1,0,1,1.674204,0.2,0.2,0.7465718986079394,0.09174109879114022,0.06309959349593496,0.10890158527624136,0.5789473684210527,0.11764705882352941
a,0.944083,1.79575,0.944083,1.79575,9.153846153846153,24.642857142857142,8,6,1,0,0.6585000000000001,w,2021-08-29 15:30:00,1,0,0,3,-0.851667,0.2,0.0,0.28934817059777374,0.40889164098389785,0.06468105065666041,0.5684392421987337,0.42105263157894735,0.29411764705882354
h,2.77326,0.622042,2.77326,0.622042,8.583333333333334,36.42857142857143,11,1,4,1,2.7596,w,2021-09-11 14:00:00,1,0,0,3,2.151218,0.8,0.2,0.924072893630916,0.10080131288581573,0.05433180894308944,0.9118337075250373,0.5789473684210527,0.0
a,1.8954,1.6671,1.8954,0.905935,12.555555555555555,16.8,7,7,2,1,1.5157,w,2021-09-19 13:00:00,1,0,0,3,0.989465,0.4,0.2,0.619455327719102,0.3751218952636521,0.12638888888888888,0.33992583436341167,0.3684210526315789,0.35294117647058826
h,1.9251,1.57249,1.16393,1.57249,6.277777777777778,9.409090909090908,5,6,0,1,1.6249,l,2021-09-25 11:30:00,0,0,1,0,-0.40856,0.0,0.2,0.6297612326556304,0.35028741689138265,0.01250846883468835,0.12458061098357757,0.2631578947368421,0.29411764705882354
h,1.0496,1.32211,1.0496,1.32211,8.133333333333333,19.8125,12,2,1,1,1.123,d,2021-10-02 11:30:00,0,1,0,1,-0.2725099999999998,0.2,0.2,0.3259625871360793,0.28456437815500374,0.04616869918699187,0.42769954087939255,0.631578947368421,0.058823529411764705
a,1.02494,2.96611,1.02494,2.96611,12.346153846153847,13.285714285714286,4,10,2,4,0.2643,l,2021-10-16 14:00:00,0,0,1,0,-1.94117,0.4,0.8,0.3174055630372647,0.716103141964441,0.12259029080675422,0.23753184833884108,0.21052631578947367,0.5294117647058824
h,1.35584,4.04765,1.35584,4.04765,60.714285714285715,8.23076923076923,7,13,0,5,0.1523,l,2021-10-24 15:30:00,0,0,1,0,-2.6918100000000003,0.0,1.0,0.4322279180371727,1.0,1.0,0.09024844129912112,0.3684210526315789,0.7058823529411765
a,1.38612,1.15787,1.38612,1.15787,10.275862068965518,7.172413793103448,9,3,3,0,1.5243,w,2021-10-30 16:30:00,1,0,0,3,0.22825,0.6,0.0,0.4427350830701048,0.24145250068051352,0.085034693019344,0.05941166799612731,0.47368421052631576,0.11764705882352941
h,0.759561,2.04202,0.759561,2.04202,23.470588235294116,10.304347826086957,0,8,0,2,0.4418999999999999,l,2021-11-06 12:30:00,0,0,1,0,-1.2824589999999998,0.0,0.4,0.22531900592780388,0.4735358328107532,0.32439024390243903,0.15066526422467735,0.0,0.4117647058823529
a,1.66794,2.73393,1.66794,1.97277,24.4,13.037037037037036,9,7,1,4,0.7023,l,2021-11-20 15:00:00,0,0,1,0,-0.3048299999999999,0.2,0.8,0.5405266699122748,0.6551574788371448,0.34125,0.2302862636608001,0.47368421052631576,0.35294117647058826
a,0.563367,2.34525,0.563367,1.58408,16.7,5.375,2,5,1,1,0.2169999999999999,d,2021-11-28 16:30:00,0,1,0,1,-1.020713,0.2,0.2,0.15723965531779488,0.5531316353350451,0.20157012195121948,0.007041320854670657,0.10526315789473684,0.23529411764705882
h,1.85597,1.16638,1.0948,1.16638,14.85,11.647058823529411,9,4,3,2,1.9235,w,2021-12-02 20:15:00,1,0,0,3,-0.0715799999999999,0.6,0.4,0.6057731111653202,0.24368631751750763,0.1680106707317073,0.18978716332021064,0.47368421052631576,0.17647058823529413
h,0.870376,0.520593,0.870376,0.520593,7.0,14.866666666666667,13,3,1,0,1.6222,w,2021-12-05 14:00:00,1,0,0,3,0.349783,0.2,0.0,0.2637718293467063,0.0741716437558257,0.02560975609756098,0.2835952675260463,0.6842105263157895,0.11764705882352941
a,2.09817,0.986107,1.337,0.986107,8.551724137931034,24.7,9,8,1,0,2.2566,w,2021-12-11 17:30:00,1,0,0,3,0.350893,0.2,0.0,0.6898165514221282,0.196365887123214,0.05375841042893187,0.5701041850609218,0.47368421052631576,0.4117647058823529
a,1.75587,1.26586,1.75587,1.26586,5.588235294117647,14.181818181818182,4,5,1,1,1.7344,d,2021-12-27 20:00:00,0,1,0,1,0.49001,0.2,0.2,0.571038394527391,0.2697991376049546,0.0,0.2636411795867914,0.21052631578947367,0.23529411764705882
h,1.80776,0.871738,1.80776,0.871738,20.2,11.857142857142858,6,6,3,1,2.0819,w,2021-12-30 20:15:00,1,0,0,3,0.936022,0.6,0.2,0.5890442331521877,0.16634480629710605,0.26506097560975606,0.19590827678413764,0.3157894736842105,0.29411764705882354
h,0.768752,0.840925,0.768752,0.840925,14.058823529411764,14.11111111111111,3,7,0,1,1.2471,l,2022-01-03 17:30:00,0,0,1,0,-0.072173,0.0,0.2,0.22850828445546828,0.1582566043936631,0.15365853658536585,0.261581023014892,0.15789473684210525,0.35294117647058826
a,1.35378,1.82784,1.35378,1.82784,10.655172413793103,14.368421052631579,4,12,2,2,0.9865,d,2022-01-15 17:30:00,0,1,0,1,-0.4740599999999999,0.4,0.4,0.43151309769477375,0.41731504665947255,0.09191547518923465,0.2690781341487216,0.21052631578947367,0.6470588235294118
a,2.05969,2.081,2.05969,2.081,12.0625,10.52,6,8,3,1,1.3777,w,2022-01-19 20:00:00,1,0,0,3,-0.0213100000000001,0.6,0.2,0.6764639850262487,0.48376781639548055,0.11744474085365854,0.15694861380893518,0.3157894736842105,0.4117647058823529
