h_a,xG,xGA,npxG,npxGA,ppda,ppda_allowed,deep,deep_allowed,scored,missed,xpts,result,date,wins,draws,loses,pts,npxGD,scored_normalized,missed_normalized,xG_normalized,xGA_normalized,ppda_normalized,ppda_allowed_normalized,deep_normalized,deep_allowed_normalized
h,1.67926,3.00939,1.67926,2.09241,24.5,11.619047619047619,5,10,2,4,0.5491,l,2021-08-15 13:00:00,0,0,1,0,-0.4131500000000001,0.6666666666666666,0.8,0.6080587348126938,0.7208144640693385,0.6087879431118658,0.41257286958800027,0.5,0.5625
a,0.63163,1.18426,0.63163,0.423091,8.823529411764707,14.428571428571429,4,5,0,2,0.7396,l,2021-08-21 14:00:00,0,0,1,0,0.208539,0.0,0.4,0.2007323577635327,0.2340174588979221,0.10298800054940253,0.5526626056199647,0.4,0.25
h,1.19077,3.46036,1.19077,2.69919,9.75,7.705882352941177,6,10,2,2,0.1282,d,2021-08-28 14:00:00,0,1,0,1,-1.50842,0.6666666666666666,0.4,0.41813017041042905,0.8410967702185738,0.13288049246444492,0.21745286835504496,0.6,0.5625
a,0.622042,2.77326,0.622042,2.77326,36.42857142857143,8.583333333333334,1,11,1,4,0.1559,l,2021-09-11 14:00:00,0,0,1,0,-2.151218,0.3333333333333333,0.8,0.19700447167479204,0.657834086325766,0.9936622494465841,0.26120472260431,0.1,0.625
h,1.17668,1.42995,1.17668,1.42995,16.9,5.538461538461538,10,13,1,1,1.1684,d,2021-09-17 19:00:00,0,1,0,1,-0.2532700000000001,0.3333333333333333,0.2,0.4126518730605796,0.299547671102294,0.3635746126087879,0.10937995979261456,1.0,0.75
a,2.52338,0.904061,2.52338,0.904061,8.0,5.379310344827586,4,3,1,1,2.4503,d,2021-09-25 14:00:00,0,1,0,1,1.619319,0.3333333333333333,0.2,0.9362589022331934,0.15928303775968772,0.07641689662492039,0.10144429160935353,0.4,0.125
a,0.865217,1.15849,0.865217,1.15849,13.142857142857142,10.666666666666666,1,3,1,2,1.0174,l,2021-10-02 14:00:00,0,0,1,0,-0.293273,0.3333333333333333,0.4,0.29155272987561653,0.22714410805536986,0.2423507292961761,0.36508482347546994,0.1,0.125
h,0.645658,1.55008,0.645658,1.55008,11.5625,9.15,3,10,2,3,0.5596,l,2021-10-17 15:30:00,0,0,1,0,-0.904422,0.6666666666666666,0.6,0.2061865490498128,0.33158863488637635,0.19136064529823815,0.2894601100412655,0.3,0.5625
a,0.721813,2.25588,0.721813,2.25588,25.666666666666668,5.117647058823529,4,9,1,1,0.3356,d,2021-10-23 14:00:00,0,1,0,1,-1.5340669999999998,0.3333333333333333,0.2,0.23579618245490705,0.5198389656847227,0.6464303403382156,0.0883971195080508,0.4,0.5
h,0.157616,2.16608,0.157616,1.40491,21.066666666666666,3.8947368421052633,0,14,0,3,0.0815,l,2021-10-30 14:00:00,0,0,1,0,-1.247294,0.0,0.6,0.01643217039720961,0.49588759177470354,0.4980117455600368,0.027419821906899317,0.0,0.8125
