name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Hélder Wander Sousa de Azevedo e Costa,Leeds,Manchester United,2021-08-14,False,21,0.57,1,0.0,0,1.0,0,21.0,0.0,Leeds,True,Everton,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Everton,2021-08-21,True,0,0.97,0,0.0,0,0.5,0,10.5,0.0,Leeds,False,Burnley,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Burnley,2021-08-29,False,0,1.52,0,0.0,0,0.33,0,7.0,0.0,Leeds,True,Liverpool,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Liverpool,2021-09-12,True,0,0.65,0,0.0,0,0.25,0,5.25,0.0,Leeds,False,Newcastle United,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Newcastle United,2021-09-17,False,0,1.43,0,0.0,0,0.2,0,4.2,0.0,Leeds,True,West Ham,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,West Ham,2021-09-25,True,0,1.2,0,0.0,0,0.0,0,3.5,0.0,Leeds,True,Watford,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Watford,2021-10-02,True,0,1.57,0,0.0,0,0.0,0,3.0,0.0,Leeds,False,Southampton,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Southampton,2021-10-16,False,0,0.45,0,0.0,0,0.0,0,2.62,0.0,Leeds,True,Wolverhampton,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Wolverhampton,2021-10-23,True,0,1.71,0,0.0,0,0.0,0,2.33,0.0,Leeds,False,Norwich,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Norwich,2021-10-31,False,0,1.17,0,0.0,0,0.0,0,2.1,0.0,Leeds,True,Leeds United,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Leeds United,2021-11-07,True,0,1.97,0,0.0,0,0.0,0,1.91,0.0,Leeds,False,Tottenham,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Tottenham,2021-11-21,False,0,1.47,0,0.0,0,0.0,0,1.75,0.0,Leeds,False,Brighton,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Brighton,2021-11-27,False,0,0.86,0,0.0,0,0.0,0,1.62,0.0,Leeds,True,Crystal Palace,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Crystal Palace,2021-11-30,True,0,1.98,0,0.0,0,0.0,0,1.5,0.0,Leeds,True,Brentford,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Brentford,2021-12-05,True,0,1.42,0,0.0,0,0.0,0,1.4,0.0,Leeds,False,Chelsea,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Chelsea,2021-12-11,False,0,1.73,0,0.0,0,0.0,0,1.31,0.0,Leeds,False,Manchester City,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Manchester City,2021-12-14,False,0,0.23,0,0.0,0,0.0,0,1.24,0.0,Leeds,True,Arsenal,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Arsenal,2021-12-18,True,0,1.31,0,0.0,0,0.0,0,1.17,0.0,Leeds,True,Burnley,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,Burnley,2022-01-02,True,0,2.04,0,0.0,0,0.0,0,1.11,0.0,Leeds,False,West Ham,,
Hélder Wander Sousa de Azevedo e Costa,Leeds,West Ham,2022-01-16,False,0,2.27,0,0.0,0,0.0,0,1.05,0.0,Leeds,True,Newcastle United,,
