name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Dejan Kulusevski,Spurs,Southampton,2022-02-09,True,14,0,0.0,0,0.03,1,0,1,1.4,0,1.0,0.0,14.0,2.0,Spurs,True,Wolverhampton,,
Dejan Kulusevski,Spurs,Wolverhampton,2022-02-13,True,62,0,0.12,0,0.03,2,2,1,4.8,0,1.5,0.06,38.0,11.0,Spurs,False,Manchester City,,
Dejan Kulusevski,Spurs,Manchester City,2022-02-19,False,90,1,0.33,1,0.58,11,1,1,9.5,1,4.67,0.48,55.33,2.0,Spurs,False,Burnley,,
Dejan Kulusevski,Spurs,Burnley,2022-02-23,False,90,0,0.18,0,0.13,2,3,2,8.2,0,4.0,0.41,64.0,8.0,Spurs,False,Leicester City,,
Dejan Kulusevski,Spurs,Leicester City,2022-02-26,False,77,1,0.41,0,0.04,8,4,1,13.4,0,4.8,0.41,66.6,10.0,Spurs,True,Everton,,
Dejan Kulusevski,Spurs,Everton,2022-03-07,True,90,0,0.09,2,1.27,10,2,3,10.6,1,6.6,0.83,70.5,5.0,Spurs,False,Manchester United,,
Dejan Kulusevski,Spurs,Manchester United,2022-03-12,False,77,0,0.0,0,0.18,5,0,2,4.4,0,7.2,0.8,71.43,6.0,Spurs,False,Brighton,,
Dejan Kulusevski,Spurs,Brighton,2022-03-16,False,90,0,0.47,1,0.12,6,3,2,9.5,0,6.2,0.83,73.75,2.0,Spurs,True,West Ham,,
Dejan Kulusevski,Spurs,West Ham,2022-03-20,True,90,0,0.21,0,0.52,2,4,2,7.6,0,6.2,0.84,75.56,6.0,Spurs,True,Newcastle United,,
Dejan Kulusevski,Spurs,Newcastle United,2022-04-03,True,75,0,0.0,1,0.77,6,0,4,10.1,1,5.8,0.95,75.5,12.0,Spurs,False,Aston Villa,,
Dejan Kulusevski,Spurs,Aston Villa,2022-04-09,False,83,1,0.08,1,0.12,12,1,1,8.7,1,6.2,0.75,76.18,2.0,Spurs,True,Brighton,,
Dejan Kulusevski,Spurs,Brighton,2022-04-16,True,63,0,0.0,0,0.0,2,0,0,0.1,0,5.6,0.75,75.08,3.0,Spurs,False,Brentford,,
Dejan Kulusevski,Spurs,Brentford,2022-04-23,False,90,0,0.08,0,0.03,3,2,1,8.3,0,5.0,0.47,76.23,8.0,Spurs,True,Leeds United,,
Dejan Kulusevski,Spurs,Leeds United,2022-05-01,True,35,0,0.0,2,0.16,8,0,2,6.7,1,6.2,0.83,73.29,2.0,Spurs,False,Liverpool,,
Dejan Kulusevski,Spurs,Liverpool,2022-05-07,False,84,0,0.03,0,0.0,2,1,0,1.4,0,5.4,0.64,74.0,3.0,Spurs,True,Arsenal,,
Dejan Kulusevski,Spurs,Arsenal,2022-05-12,True,71,0,0.0,0,0.0,3,0,0,2.2,0,3.6,0.42,73.81,0.0,Spurs,True,Burnley,,
Dejan Kulusevski,Spurs,Burnley,2022-05-15,True,11,0,0.0,0,0.0,0,0,0,0.0,0,3.2,0.42,70.12,16.0,Spurs,False,Norwich,,
Dejan Kulusevski,Spurs,Norwich,2022-05-22,False,67,2,1.02,0,0.16,16,3,2,0.0,3,5.8,0.61,69.94,13.0,Spurs,True,Southampton,,
