Opponent,Home Difficulty,Away Difficulty
Arsenal,-3.3863318411349344,
Aston Villa,0.32380333236107206,1.701877161088785
Bournemouth,-3.88797766706625,
Brentford,,5.051370114803896
Brighton,0.8300815559018583,
Burnley,-3.8630600249657077,
Chelsea,,0.38279643196804447
Crystal Palace,0.0802974010688493,-0.009247661915341765
Everton,1.7843778923548872,-2.1861041948541953
Fulham,,-3.9350005715314813
Ipswich Town,,
Leeds United,,0.5650445344023634
Leicester City,-4.859306068176671,
Liverpool,0.13852892439662745,
Luton,,
Manchester City,-1.291892920754734,-0.10785073246430965
Newcastle United,-1.4946781482334124,-0.4259710153088968
Norwich,,-1.823821434344837
Nottingham Forest,-1.259911232989542,
Sheffield,,
Southampton,,-0.9850095197493853
Tottenham,-3.2751437892250794,-2.943019493809635
Watford,,2.8634510222076655
West Ham,-1.5251258712025433,-1.2749666540953224
Wolverhampton,0.6149970534166711,-0.2809822788463332
