name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Bernd Leno,Fulham,Everton,2023-08-12,False,90,0,2.73,9,0,12,3,1,0.0,1,12.0,0,90.0,1.0,9.0,2.0,Fulham,True,Brentford,-2.09,0.79
Bernd Leno,Fulham,Brentford,2023-08-19,True,90,3,3.8,5,0,2,0,0,0.0,1,7.0,0,90.0,0.5,7.0,5.0,Fulham,False,Arsenal,0.0,-0.48
Bernd Leno,Fulham,Arsenal,2023-08-26,False,90,2,3.25,8,0,5,2,0,0.0,1,6.33,0,90.0,0.33,7.33,0.0,Fulham,False,Manchester City,-0.18,-1.32
Bernd Leno,Fulham,Manchester City,2023-09-02,False,90,5,2.26,0,0,0,0,0,0.0,1,4.75,0,90.0,0.25,5.5,6.0,Fulham,True,Luton,,
Bernd Leno,Fulham,Luton,2023-09-16,True,90,0,1.28,2,0,6,0,1,0.0,1,5.0,0,90.0,0.4,4.8,10.0,Fulham,False,Crystal Palace,-3.04,0.38
Bernd Leno,Fulham,Crystal Palace,2023-09-23,False,90,0,0.3,3,0,10,3,1,0.0,1,4.6,0,90.0,0.5,4.5,1.0,Fulham,True,Chelsea,-0.65,-0.25
Bernd Leno,Fulham,Chelsea,2023-10-02,True,90,2,1.73,2,0,1,0,0,0.0,1,4.4,0,90.0,0.43,4.14,2.0,Fulham,True,Sheffield,,0.68
Bernd Leno,Fulham,Sheffield,2023-10-07,True,90,1,0.57,2,0,2,0,0,0.0,1,3.8,0,90.0,0.38,3.88,2.0,Fulham,False,Tottenham,1.23,-0.36
Bernd Leno,Fulham,Tottenham,2023-10-23,False,90,2,1.51,3,0,2,0,0,0.0,1,4.2,0,90.0,0.33,3.78,3.0,Fulham,False,Brighton,-1.45,-0.6
Bernd Leno,Fulham,Brighton,2023-10-29,False,90,1,1.32,5,0,3,0,0,0.0,1,3.6,0,90.0,0.3,3.9,3.0,Fulham,True,Manchester United,2.97,0.38
Bernd Leno,Fulham,Manchester United,2023-11-04,True,90,1,0.69,4,0,3,0,0,0.0,1,2.2,0,90.0,0.27,3.91,2.0,Fulham,False,Aston Villa,1.75,0.29
Bernd Leno,Fulham,Aston Villa,2023-11-12,False,90,3,3.08,4,0,2,0,0,0.0,1,2.4,0,90.0,0.25,3.92,2.0,Fulham,True,Wolverhampton,0.25,0.05
Bernd Leno,Fulham,Wolverhampton,2023-11-27,True,90,2,1.41,4,0,2,0,0,0.0,1,2.4,0,90.0,0.23,3.92,1.0,Fulham,False,Liverpool,0.06,-1.01
Bernd Leno,Fulham,Liverpool,2023-12-03,False,90,4,2.22,9,0,1,0,0,0.0,1,2.2,0,90.0,0.21,4.29,6.0,Fulham,True,Nottingham Forest,-2.94,1.55
Bernd Leno,Fulham,Nottingham Forest,2023-12-06,True,90,0,0.29,1,0,6,0,1,0.0,1,2.8,0,90.0,0.27,4.07,9.0,Fulham,True,West Ham,3.48,0.49
Bernd Leno,Fulham,West Ham,2023-12-10,True,90,0,1.39,5,0,9,2,1,0.0,1,4.0,0,90.0,0.31,4.12,3.0,Fulham,False,Newcastle United,0.12,-0.41
Bernd Leno,Fulham,Newcastle United,2023-12-16,False,90,3,3.97,7,0,3,0,0,0.0,1,4.2,0,90.0,0.29,4.29,1.0,Fulham,True,Burnley,,0.39
Bernd Leno,Fulham,Burnley,2023-12-23,True,90,2,0.41,0,0,1,0,0,0.0,1,4.0,0,90.0,0.28,4.06,0.0,Fulham,False,Bournemouth,3.26,0.19
Bernd Leno,Fulham,Bournemouth,2023-12-26,False,90,3,1.82,1,0,0,0,0,0.0,1,3.8,0,90.0,0.26,3.89,1.0,Fulham,True,Arsenal,3.29,-0.11
Bernd Leno,Fulham,Arsenal,2023-12-31,True,90,1,1.64,2,0,1,0,0,0.0,1,2.8,0,90.0,0.25,3.8,2.0,Fulham,False,Chelsea,-0.32,-0.85
Bernd Leno,Fulham,Chelsea,2024-01-13,False,90,1,2.19,2,0,2,0,0,0.0,1,1.4,0,90.0,0.24,3.71,8.0,Fulham,True,Everton,1.34,0.53
Bernd Leno,Fulham,Everton,2024-01-30,True,90,0,2.15,2,0,8,2,1,0.0,1,2.4,0,90.0,0.27,3.64,1.0,Fulham,False,Burnley,,0.0
Bernd Leno,Fulham,Burnley,2024-02-03,False,90,2,1.68,2,0,1,0,0,0.0,1,2.4,0,90.0,0.26,3.57,3.0,Fulham,True,Bournemouth,1.23,1.22
Bernd Leno,Fulham,Bournemouth,2024-02-10,True,90,1,1.84,4,0,3,0,0,0.0,1,3.0,0,90.0,0.25,3.58,1.0,Fulham,True,Aston Villa,-3.96,0.64
Bernd Leno,Fulham,Aston Villa,2024-02-17,True,90,2,1.65,1,0,1,0,0,0.0,1,3.0,0,90.0,0.24,3.48,3.0,Fulham,False,Manchester United,,-0.63
Bernd Leno,Fulham,Manchester United,2024-02-24,False,90,1,1.67,7,0,3,0,0,0.0,1,3.2,0,90.0,0.23,3.62,8.0,Fulham,True,Brighton,-0.52,-0.66
Bernd Leno,Fulham,Brighton,2024-03-02,True,90,0,1.17,5,0,8,1,1,0.0,1,3.2,0,90.0,0.26,3.67,1.0,Fulham,False,Wolverhampton,-0.42,-0.52
Bernd Leno,Fulham,Wolverhampton,2024-03-09,False,90,2,0.83,2,0,1,0,0,0.0,1,3.2,0,90.0,0.25,3.61,7.0,Fulham,True,Tottenham,,0.69
Bernd Leno,Fulham,Tottenham,2024-03-16,True,90,0,2.37,5,0,7,0,1,0.0,1,4.0,0,90.0,0.28,3.66,1.0,Fulham,False,Sheffield,,-0.61
Bernd Leno,Fulham,Sheffield,2024-03-30,False,90,3,1.87,1,0,1,0,0,0.0,1,4.0,0,90.0,0.27,3.57,1.0,Fulham,False,Nottingham Forest,-0.51,-0.55
Bernd Leno,Fulham,Nottingham Forest,2024-04-02,False,90,3,1.51,1,0,1,0,0,0.0,1,3.6,0,90.0,0.26,3.48,3.0,Fulham,True,Newcastle United,3.93,0.55
Bernd Leno,Fulham,Newcastle United,2024-04-06,True,90,1,0.59,4,0,3,0,0,0.0,1,2.6,0,90.0,0.25,3.5,9.0,Fulham,False,West Ham,5.62,-0.22
Bernd Leno,Fulham,West Ham,2024-04-14,False,90,0,0.93,4,0,9,2,1,0.0,1,4.2,0,90.0,0.27,3.52,2.0,Fulham,True,Liverpool,-0.55,0.18
Bernd Leno,Fulham,Liverpool,2024-04-21,True,90,3,1.02,4,0,2,0,0,0.0,1,3.2,0,90.0,0.26,3.53,3.0,Fulham,True,Crystal Palace,,0.88
Bernd Leno,Fulham,Crystal Palace,2024-04-27,True,90,1,1.01,3,0,3,0,0,0.0,1,3.6,0,90.0,0.26,3.51,6.0,Fulham,False,Brentford,,-0.53
Bernd Leno,Fulham,Brentford,2024-05-04,False,90,0,0.63,2,0,6,0,1,0.0,1,4.6,0,90.0,0.28,3.47,1.0,Fulham,True,Manchester City,,-0.96
Bernd Leno,Fulham,Manchester City,2024-05-11,True,90,4,3.25,5,0,1,0,0,0.0,1,4.2,0,90.0,0.27,3.51,2.0,Fulham,False,Luton,,
Bernd Leno,Fulham,Luton,2024-05-19,False,90,2,2.11,4,0,2,0,0,0.0,1,2.8,0,90.0,0.26,3.53,3.0,Fulham,False,Manchester United,,-0.63
