name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Raphaël Varane,Man Utd,Southampton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0.0,0.0,0.0,12.0,Man Utd,False,Wolverhampton,,
Raphaël Varane,Man Utd,Wolverhampton,2021-08-29,False,90,0.0,0.0,1.0,0.06,12,0.0,1.0,4.7,3,1,0,6.0,0.5,45.0,1.0,2.0,Man Utd,True,Newcastle United,,
Raphaël Varane,Man Utd,Newcastle United,2021-09-11,True,90,0.0,0.29,0.0,0.0,2,2.0,0.0,2.6,0,0,1,4.67,0.43,60.0,0.5,2.0,Man Utd,False,West Ham,,
Raphaël Varane,Man Utd,West Ham,2021-09-19,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,3.1,0,0,1,4.0,0.32,67.5,0.33,2.0,Man Utd,True,Aston Villa,,
Raphaël Varane,Man Utd,Aston Villa,2021-09-25,True,90,0.0,0.01,0.0,0.06,2,1.0,1.0,3.1,0,0,1,3.6,0.26,72.0,0.25,2.0,Man Utd,True,Everton,,
Raphaël Varane,Man Utd,Everton,2021-10-02,True,90,0.0,0.06,0.0,0.0,2,1.0,0.0,2.0,0,0,1,4.0,0.27,75.0,0.2,0.0,Man Utd,False,Leeds United,,
Raphaël Varane,Man Utd,Leeds United,,False,0,,,,,0,,,0.0,0,0,0,1.6,0.07,64.29,0.2,0.0,Man Utd,True,Liverpool,,
Raphaël Varane,Man Utd,Liverpool,,True,0,,,,,0,,,0.0,0,0,0,1.2,0.01,56.25,0.2,6.0,Man Utd,False,Tottenham,,
Raphaël Varane,Man Utd,Tottenham,2021-10-30,False,90,0.0,0.0,0.0,0.0,6,0.0,0.0,1.6,0,1,0,2.0,0.01,60.0,0.33,0.0,Man Utd,True,Manchester City,,
Raphaël Varane,Man Utd,Manchester City,,True,0,,,,,0,,,0.0,0,0,0,1.6,0.01,54.0,0.33,0.0,Man Utd,False,Watford,,
Raphaël Varane,Man Utd,Watford,,False,0,,,,,0,,,0.0,0,0,0,1.2,0.0,49.09,0.33,0.0,Man Utd,False,Chelsea,,
Raphaël Varane,Man Utd,Chelsea,,False,0,,,,,0,,,0.0,0,0,0,1.2,0.0,45.0,0.33,0.0,Man Utd,True,Arsenal,,
Raphaël Varane,Man Utd,Arsenal,,True,0,,,,,0,,,0.0,0,0,0,1.2,0.0,41.54,0.33,0.0,Man Utd,True,Crystal Palace,,
Raphaël Varane,Man Utd,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0,0.0,0.0,38.57,0.33,0.0,Man Utd,False,Norwich,,
Raphaël Varane,Man Utd,Norwich,,False,0,,,,,0,,,0.0,0,0,0,0.0,0.0,36.0,0.33,4.0,Man Utd,False,Newcastle United,,
Raphaël Varane,Man Utd,Newcastle United,2021-12-27,False,90,0.0,0.04,0.0,0.0,4,1.0,0.0,4.2,2,0,1,0.8,0.01,39.38,0.29,1.0,Man Utd,True,Burnley,,
Raphaël Varane,Man Utd,Burnley,2021-12-30,True,24,0.0,0.0,0.0,0.0,1,0.0,0.0,0.3,0,0,0,1.0,0.01,38.47,0.25,2.0,Man Utd,True,Wolverhampton,,
Raphaël Varane,Man Utd,Wolverhampton,2022-01-03,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.9,0,0,1,1.4,0.01,41.33,0.22,1.0,Man Utd,False,Aston Villa,,
Raphaël Varane,Man Utd,Aston Villa,2022-01-15,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.5,0,0,2,1.6,0.01,43.89,0.2,2.0,Man Utd,False,Brentford,,
Raphaël Varane,Man Utd,Brentford,2022-01-19,False,90,0.0,0.07,0.0,0.0,2,1.0,0.0,4.7,0,0,1,2.0,0.02,46.2,0.18,8.0,Man Utd,True,West Ham,,
Raphaël Varane,Man Utd,West Ham,2022-01-22,True,90,0.0,0.03,0.0,0.0,8,1.0,0.0,1.8,2,1,0,2.8,0.02,48.29,0.25,2.0,Man Utd,False,Burnley,,
Raphaël Varane,Man Utd,Burnley,2022-02-08,False,90,0.0,0.14,0.0,0.0,2,1.0,0.0,5.5,0,0,1,3.0,0.05,50.18,0.23,2.0,Man Utd,True,Southampton,,
Raphaël Varane,Man Utd,Southampton,2022-02-12,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,0.9,0,0,1,3.0,0.05,51.91,0.21,0.0,Man Utd,True,Brighton,,
Raphaël Varane,Man Utd,Brighton,,True,0,,,,,0,,,0.0,0,0,0,2.8,0.05,49.75,0.21,1.0,Man Utd,False,Leicester City,,
Raphaël Varane,Man Utd,Leicester City,2022-02-20,False,5,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,2.6,0.03,47.96,0.2,6.0,Man Utd,True,Watford,,
Raphaël Varane,Man Utd,Watford,2022-02-26,True,90,0.0,0.0,0.0,0.02,6,0.0,1.0,3.5,0,1,0,2.2,0.03,49.58,0.25,0.0,Man Utd,False,Manchester City,,
Raphaël Varane,Man Utd,Manchester City,,False,0,,,,,0,,,0.0,0,0,0,1.8,0.0,47.74,0.25,1.0,Man Utd,True,Tottenham,,
Raphaël Varane,Man Utd,Tottenham,2022-03-12,True,90,0.0,0.0,0.0,0.0,1,0.0,0.0,1.6,0,0,2,1.6,0.0,49.25,0.24,2.0,Man Utd,True,Leeds United,,
Raphaël Varane,Man Utd,Leeds United,2022-04-02,True,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.5,0,0,1,2.0,0.0,50.66,0.22,0.0,Man Utd,False,Everton,,
Raphaël Varane,Man Utd,Everton,,False,0,,,,,0,,,0.0,0,0,0,1.8,0.0,48.97,0.22,0.0,Man Utd,True,Norwich,,
Raphaël Varane,Man Utd,Norwich,,True,0,,,,,0,,,0.0,0,0,0,0.6,0.0,47.39,0.22,0.0,Man Utd,False,Liverpool,,
Raphaël Varane,Man Utd,Liverpool,,False,0,,,,,0,,,0.0,0,0,0,0.6,0.0,45.91,0.22,1.0,Man Utd,False,Arsenal,,
Raphaël Varane,Man Utd,Arsenal,2022-04-23,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.0,0,0,3,0.6,0.0,47.24,0.21,2.0,Man Utd,True,Chelsea,,
Raphaël Varane,Man Utd,Chelsea,2022-04-28,True,90,0.0,0.0,0.0,0.08,2,0.0,1.0,3.6,0,0,1,0.6,0.0,48.5,0.2,14.0,Man Utd,True,Brentford,,
Raphaël Varane,Man Utd,Brentford,2022-05-02,True,90,1.0,0.11,0.0,0.0,14,1.0,0.0,6.4,2,1,0,3.4,0.02,49.69,0.24,0.0,Man Utd,False,Brighton,,
Raphaël Varane,Man Utd,Brighton,2022-05-07,False,90,0.0,0.0,0.0,0.0,0,0.0,0.0,2.0,0,0,4,3.4,0.02,50.81,0.23,0.0,Man Utd,False,Crystal Palace,,
Raphaël Varane,Man Utd,Crystal Palace,,False,0,,,,,0,,,0.0,0,0,0,3.4,0.02,49.43,0.23,,Man Utd,True,Brighton,,
