name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Shane Duffy,Brighton,Burnley,2021-08-14,False,90,0.0,0.06,0.0,0.0,2,4.0,0.0,9.2,0,0,1,2.0,0.06,90.0,0.0,14.0,Brighton,True,Watford,,
Shane Duffy,Brighton,Watford,2021-08-21,True,90,1.0,0.13,0.0,0.0,14,3.0,0.0,11.4,3,1,0,8.0,0.1,90.0,0.5,1.0,Brighton,True,Everton,,
Shane Duffy,Brighton,Everton,2021-08-28,True,90,0.0,0.06,0.0,0.0,1,1.0,0.0,2.9,0,0,2,5.67,0.09,90.0,0.33,5.0,Brighton,False,Brentford,,
Shane Duffy,Brighton,Brentford,2021-09-11,False,90,0.0,0.0,0.0,0.0,5,0.0,0.0,1.1,0,1,0,5.5,0.06,90.0,0.5,5.0,Brighton,True,Leeds United,,
Shane Duffy,Brighton,Leeds United,2021-09-19,True,90,0.0,0.07,0.0,0.02,5,2.0,1.0,6.6,0,0,1,5.4,0.06,90.0,0.4,2.0,Brighton,False,Crystal Palace,,
Shane Duffy,Brighton,Crystal Palace,2021-09-27,False,90,0.0,0.04,0.0,0.0,2,1.0,0.0,4.2,0,0,1,5.4,0.06,90.0,0.33,6.0,Brighton,True,Arsenal,,
Shane Duffy,Brighton,Arsenal,2021-10-02,True,90,0.0,0.11,0.0,0.0,6,2.0,0.0,2.1,0,1,0,3.8,0.05,90.0,0.43,5.0,Brighton,False,Norwich,,
Shane Duffy,Brighton,Norwich,2021-10-16,False,90,0.0,0.03,0.0,0.0,5,1.0,0.0,2.6,0,1,0,4.6,0.05,90.0,0.5,0.0,Brighton,True,Manchester City,,
Shane Duffy,Brighton,Manchester City,,True,0,,,,,0,,,0.0,0,0,0,3.6,0.05,80.0,0.5,0.0,Brighton,False,Liverpool,,
Shane Duffy,Brighton,Liverpool,2021-10-30,False,90,0.0,0.06,0.0,0.0,0,1.0,0.0,2.7,0,0,2,2.6,0.05,81.0,0.44,2.0,Brighton,True,Newcastle United,,
Shane Duffy,Brighton,Newcastle United,2021-11-06,True,90,0.0,0.02,0.0,0.0,2,1.0,0.0,3.6,0,0,1,2.6,0.04,81.82,0.4,1.0,Brighton,False,Aston Villa,,
Shane Duffy,Brighton,Aston Villa,2021-11-20,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.9,0,0,2,1.6,0.02,82.5,0.36,0.0,Brighton,True,Leicester City,,
Shane Duffy,Brighton,Leicester City,,True,0,,,,,0,,,0.0,0,0,0,0.6,0.01,76.15,0.36,1.0,Brighton,False,West Ham,,
Shane Duffy,Brighton,West Ham,2021-12-01,False,54,0.0,0.0,0.0,0.0,1,0.0,0.0,1.1,0,0,0,0.8,0.01,74.57,0.33,1.0,Brighton,False,Southampton,,
Shane Duffy,Brighton,Southampton,2021-12-04,False,90,0.0,0.04,0.0,0.04,1,1.0,1.0,3.4,0,0,1,1.0,0.01,75.6,0.31,0.0,Brighton,True,Wolverhampton,,
Shane Duffy,Brighton,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0,0.6,0.01,70.88,0.31,0.0,Brighton,True,Brentford,,
Shane Duffy,Brighton,Brentford,,True,0,,,,,0,,,0.0,0,0,0,0.4,0.01,66.71,0.31,0.0,Brighton,False,Chelsea,,
Shane Duffy,Brighton,Chelsea,,False,0,,,,,0,,,0.0,0,0,0,0.4,0.01,63.0,0.31,1.0,Brighton,False,Everton,,
Shane Duffy,Brighton,Everton,2022-01-02,False,29,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0,0,1,0.4,0.01,61.21,0.29,0.0,Brighton,True,Crystal Palace,,
Shane Duffy,Brighton,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0,0.2,0.0,58.15,0.29,0.0,Brighton,True,Chelsea,,
Shane Duffy,Brighton,Chelsea,,True,0,,,,,0,,,0.0,0,0,0,0.2,0.0,55.38,0.29,0.0,Brighton,False,Leeds United,,
Shane Duffy,Brighton,Leeds United,,False,0,,,,,0,,,0.0,0,0,0,0.2,0.0,52.86,0.29,1.0,Brighton,False,Watford,,
Shane Duffy,Brighton,Watford,2022-02-12,False,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0,0.4,0.0,50.61,0.27,0.0,Brighton,False,Manchester United,,
Shane Duffy,Brighton,Manchester United,,False,0,,,,,0,,,0.0,0,0,0,0.2,0.0,48.5,0.27,0.0,Brighton,True,Burnley,,
Shane Duffy,Brighton,Burnley,2022-02-19,True,90,0.0,0.07,0.0,0.0,0,2.0,0.0,4.3,0,0,3,0.2,0.01,50.16,0.25,0.0,Brighton,True,Aston Villa,,
Shane Duffy,Brighton,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0,0.2,0.01,48.23,0.25,0.0,Brighton,False,Newcastle United,,
Shane Duffy,Brighton,Newcastle United,2022-03-05,False,90,0.0,0.14,0.0,0.02,0,1.0,1.0,7.7,0,0,2,0.2,0.04,49.78,0.24,0.0,Brighton,True,Liverpool,,
Shane Duffy,Brighton,Liverpool,,True,0,,,,,0,,,0.0,0,0,0,0.0,0.04,48.0,0.24,1.0,Brighton,True,Tottenham,,
Shane Duffy,Brighton,Tottenham,2022-03-16,True,90,0.0,0.08,0.0,0.02,1,2.0,1.0,5.4,0,0,2,0.2,0.06,49.45,0.22,0.0,Brighton,True,Norwich,,
Shane Duffy,Brighton,Norwich,,True,0,,,,,0,,,0.0,0,0,0,0.2,0.04,47.8,0.22,0.0,Brighton,False,Arsenal,,
Shane Duffy,Brighton,Arsenal,,False,0,,,,,0,,,0.0,0,0,0,0.2,0.04,46.26,0.22,0.0,Brighton,False,Tottenham,,
Shane Duffy,Brighton,Tottenham,,False,0,,,,,0,,,0.0,0,0,0,0.2,0.02,44.81,0.22,0.0,Brighton,False,Manchester City,,
Shane Duffy,Brighton,Manchester City,,False,0,,,,,0,,,0.0,0,0,0,0.2,0.02,43.45,0.22,0.0,Brighton,True,Southampton,,
Shane Duffy,Brighton,Southampton,,True,0,,,,,0,,,0.0,0,0,0,0.0,0.0,42.18,0.22,0.0,Brighton,False,Wolverhampton,,
Shane Duffy,Brighton,Wolverhampton,,False,0,,,,,0,,,0.0,0,0,0,0.0,0.0,40.97,0.22,0.0,Brighton,True,Manchester United,,
Shane Duffy,Brighton,Manchester United,,True,0,,,,,0,,,0.0,0,0,0,0.0,0.0,39.83,0.22,0.0,Brighton,False,Leicester City,,
Shane Duffy,Brighton,Leicester City,,False,0,,,,,0,,,0.0,0,0,0,0.0,0.0,38.76,0.22,0.0,Brighton,True,West Ham,,
Shane Duffy,Brighton,West Ham,,True,0,,,,,0,,,0.0,0,0,0,0.0,0.0,37.74,0.22,,Fulham,True,Liverpool,,
