name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Marc Cucurella,Brighton,Brentford,2021-09-11,False,81,0,0.0,0,0.03,7,0,1,2.3,1,1,0,0.12,7.0,0.0,81.0,1.0,2.0,Brighton,True,Leeds United,,
Marc Cucurella,Brighton,Leeds United,2021-09-19,True,90,0,0.0,0,0.13,2,0,1,4.1,0,0,1,0.41,4.5,0.0,85.5,0.5,1.0,Brighton,False,Crystal Palace,,
Marc Cucurella,Brighton,Crystal Palace,2021-09-27,False,90,0,0.0,0,0.0,1,0,0,2.8,0,0,1,0.49,3.33,0.0,87.0,0.33,9.0,Brighton,True,Arsenal,,
Marc Cucurella,Brighton,Arsenal,2021-10-02,True,90,0,0.0,0,0.18,9,0,4,8.0,3,1,0,0.49,4.75,0.0,87.75,0.5,5.0,Brighton,False,Norwich,,
Marc Cucurella,Brighton,Norwich,2021-10-16,False,65,0,0.0,0,0.18,5,0,3,5.5,0,1,0,0.86,4.8,0.0,83.2,0.6,0.0,Brighton,True,Manchester City,,
Marc Cucurella,Brighton,Manchester City,2021-10-23,True,90,0,0.0,0,0.03,0,0,1,2.8,0,0,4,0.83,3.4,0.0,84.33,0.5,1.0,Brighton,False,Liverpool,,
Marc Cucurella,Brighton,Liverpool,2021-10-30,False,90,0,0.02,0,0.52,1,1,1,4.2,0,0,2,0.8,3.2,0.0,85.14,0.43,2.0,Brighton,True,Newcastle United,,
Marc Cucurella,Brighton,Newcastle United,2021-11-06,True,90,0,0.11,0,0.05,2,2,2,5.2,0,0,1,0.96,3.4,0.03,85.75,0.38,5.0,Brighton,False,Aston Villa,,
Marc Cucurella,Brighton,Aston Villa,2021-11-20,False,63,0,0.0,0,0.0,5,0,0,1.0,0,1,0,0.94,2.6,0.03,83.22,0.44,9.0,Brighton,True,Leicester City,,
Marc Cucurella,Brighton,Leicester City,2021-11-27,True,90,0,0.01,0,0.05,9,1,2,5.3,3,1,0,0.9,3.4,0.03,83.9,0.5,2.0,Brighton,False,West Ham,,
Marc Cucurella,Brighton,West Ham,2021-12-01,False,90,0,0.01,0,0.03,2,1,1,4.2,0,0,1,0.93,3.8,0.03,84.45,0.45,2.0,Brighton,False,Southampton,,
Marc Cucurella,Brighton,Southampton,2021-12-04,False,90,0,0.0,0,0.11,2,0,2,4.6,0,0,1,0.98,4.0,0.03,84.92,0.42,2.0,Brighton,True,Wolverhampton,,
Marc Cucurella,Brighton,Wolverhampton,2021-12-15,True,90,0,0.02,0,0.01,2,1,1,3.8,0,0,1,1.04,4.0,0.01,85.31,0.38,9.0,Brighton,True,Brentford,,
Marc Cucurella,Brighton,Brentford,2021-12-26,True,90,0,0.0,0,0.08,9,0,1,4.7,3,1,0,1.07,4.8,0.01,85.64,0.43,8.0,Brighton,False,Chelsea,,
Marc Cucurella,Brighton,Chelsea,2021-12-29,False,90,0,0.01,1,0.04,8,1,1,6.8,3,0,1,1.02,4.6,0.21,85.93,0.4,1.0,Brighton,False,Everton,,
Marc Cucurella,Brighton,Everton,2022-01-02,False,90,0,0.06,0,0.0,1,1,0,2.9,0,0,2,1.99,4.4,0.22,86.19,0.38,3.0,Brighton,True,Crystal Palace,,
Marc Cucurella,Brighton,Crystal Palace,2022-01-14,True,90,0,0.0,0,0.26,3,0,2,4.3,1,0,1,4.56,4.6,0.22,86.41,0.35,2.0,Brighton,True,Chelsea,,
