name,team,opponent_team,date,was_home,position,minutes,xG,total_points,ict_index,bonus,clean_sheets,goals_conceded,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Rúben Santos Gato Alves Dias,Man City,Tottenham,,False,DEF,90,,2,2.3,0,0,1,15.73,2.0,0,90.0,0.0,11.0,Man City,True,Norwich,,
Rúben Santos Gato Alves Dias,Man City,Norwich,2021-08-21,True,DEF,90,1.18,11,6.6,2,1,0,17.02,6.5,0,90.0,0.5,6.0,Man City,True,Arsenal,,
Rúben Santos Gato Alves Dias,Man City,Arsenal,2021-08-28,True,DEF,90,0.43,6,4.5,0,1,0,18.74,6.33,0,90.0,0.67,7.0,Man City,False,Leeds United,,
Rúben Santos Gato Alves Dias,Man City,Leeds United,2021-09-11,False,DEF,90,1.17,7,4.2,1,1,0,19.22,6.5,0,90.0,0.75,8.0,Man City,True,Southampton,,
Rúben Santos Gato Alves Dias,Man City,Southampton,2021-09-18,True,DEF,90,0.78,8,7.2,2,1,0,20.08,6.8,0,90.0,0.8,5.0,Man City,False,Chelsea,,
Rúben Santos Gato Alves Dias,Man City,Chelsea,2021-09-25,False,DEF,90,1.57,5,5.7,0,1,0,20.51,7.4,0,90.0,0.83,0.0,Man City,False,Liverpool,,
Rúben Santos Gato Alves Dias,Man City,Liverpool,2021-10-03,False,DEF,90,1.07,0,1.2,0,0,2,21.27,5.2,0,90.0,0.71,1.0,Man City,True,Burnley,,
Rúben Santos Gato Alves Dias,Man City,Burnley,2021-10-16,True,DEF,18,1.21,1,0.5,0,0,0,23.14,4.2,0,81.0,0.62,2.0,Man City,False,Brighton,,
Rúben Santos Gato Alves Dias,Man City,Brighton,,False,DEF,90,,2,1.7,0,0,1,22.66,3.2,0,82.0,0.56,1.0,Man City,True,Crystal Palace,,
Rúben Santos Gato Alves Dias,Man City,Crystal Palace,,True,DEF,90,,1,2.8,0,0,2,22.23,1.8,0,82.8,0.5,6.0,Man City,False,Manchester United,,
