name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Francisco Femenía Far,Watford,Aston Villa,,True,0,,,,,0,,,0.0,0,0,0,0.14,0.0,0.0,0.0,0.0,0.0,Watford,False,Brighton,,
Francisco Femenía Far,Watford,Brighton,,False,0,,,,,0,,,0.0,0,0,0,0.13,0.0,0.0,0.0,0.0,0.0,Watford,False,Tottenham,,
Francisco Femenía Far,Watford,Tottenham,2021-08-29,False,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.1,0.0,0.0,0.0,0.0,0.0,Watford,True,Wolverhampton,,
Francisco Femenía Far,Watford,Wolverhampton,2021-09-11,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.08,0.0,0.0,0.0,0.0,4.0,Watford,False,Norwich,,
Francisco Femenía Far,Watford,Norwich,,False,58,,,,,4,,,6.4,0,0,1,0.06,0.8,0.0,11.6,0.0,2.0,Watford,True,Newcastle United,,
Francisco Femenía Far,Watford,Newcastle United,,True,66,,,,,2,,,0.8,0,0,1,0.06,1.2,0.0,20.67,0.0,1.0,Watford,False,Leicester City,,
Francisco Femenía Far,Watford,Leicester City,2021-10-02,False,90,0.0,0.0,0.0,0.0,1,0.0,0.0,2.1,0,0,1,0.07,1.4,0.0,30.57,0.0,-1.0,Watford,True,Liverpool,,
Francisco Femenía Far,Watford,Liverpool,,True,55,,,,,-1,,,0.4,0,0,4,0.06,1.2,0.0,33.62,0.0,0.0,Watford,False,Everton,,
Francisco Femenía Far,Watford,Everton,,False,0,,,,,0,,,0.0,0,0,0,0.06,1.2,0.0,29.89,0.0,0.0,Watford,True,Southampton,,
Francisco Femenía Far,Watford,Southampton,,True,0,,,,,0,,,0.0,0,0,0,0.05,0.4,0.0,26.9,0.0,2.0,Watford,False,Arsenal,,
Francisco Femenía Far,Watford,Arsenal,,False,90,,,,,2,,,2.6,0,0,1,0.05,0.4,0.0,32.64,0.0,5.0,Watford,True,Manchester United,,
Francisco Femenía Far,Watford,Manchester United,,True,90,,,,,5,,,4.8,0,0,1,0.05,1.2,0.0,37.42,0.0,0.0,Watford,False,Leeds United,,
Francisco Femenía Far,Watford,Leeds United,,False,90,,,,,0,,,2.8,0,0,4,0.05,1.4,0.0,41.46,0.0,1.0,Watford,True,Chelsea,,
Francisco Femenía Far,Watford,Chelsea,,True,90,,,,,1,,,4.6,0,0,2,0.05,1.6,0.0,44.93,0.0,1.0,Watford,True,Manchester City,,
Francisco Femenía Far,Watford,Manchester City,,True,90,,,,,1,,,2.8,0,0,3,0.05,1.8,0.0,47.93,0.0,1.0,Watford,False,Brentford,,
Francisco Femenía Far,Watford,Brentford,,False,90,,,,,1,,,2.3,0,0,2,0.09,1.6,0.0,50.56,0.0,0.0,Watford,True,West Ham,,
Francisco Femenía Far,Watford,West Ham,2021-12-28,True,39,0.0,0.03,0.0,0.0,0,1.0,0.0,0.3,0,0,2,0.07,0.6,0.01,49.88,0.0,0.0,Watford,True,Tottenham,,
Francisco Femenía Far,Watford,Tottenham,2022-01-01,True,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0.06,0.6,0.01,47.11,0.0,4.0,Watford,False,Newcastle United,,
Francisco Femenía Far,Watford,Newcastle United,,False,24,,,,,4,,,4.6,0,0,0,0.1,1.2,0.01,45.89,0.0,1.0,Watford,True,Norwich,,
Francisco Femenía Far,Watford,Norwich,,True,88,,,,,1,,,2.7,0,0,2,0.16,1.2,0.01,48.0,0.0,7.0,Watford,False,Burnley,,
Francisco Femenía Far,Watford,Burnley,,False,90,,,,,7,,,5.1,1,1,0,0.16,2.4,0.01,50.0,0.07,2.0,Watford,False,West Ham,,
Francisco Femenía Far,Watford,West Ham,,False,77,,,,,2,,,1.7,0,0,1,0.14,2.8,0.0,51.23,0.07,1.0,Watford,True,Brighton,,
Francisco Femenía Far,Watford,Brighton,,True,90,,,,,1,,,5.0,0,0,2,0.16,3.0,0.0,52.91,0.06,6.0,Watford,False,Aston Villa,,
Francisco Femenía Far,Watford,Aston Villa,,False,90,,,,,6,,,1.2,0,1,0,0.2,3.4,0.0,54.46,0.12,2.0,Watford,True,Crystal Palace,,
Francisco Femenía Far,Watford,Crystal Palace,,True,90,,,,,2,,,5.5,0,0,4,0.2,3.6,0.0,55.88,0.11,0.0,Watford,False,Manchester United,,
Francisco Femenía Far,Watford,Manchester United,,False,0,,,,,0,,,0.0,0,0,0,0.15,2.2,0.0,53.73,0.11,4.0,Watford,True,Arsenal,,
Francisco Femenía Far,Watford,Arsenal,,True,90,,,,,4,,,6.0,0,0,3,0.13,2.6,0.0,55.07,0.11,0.0,Watford,False,Wolverhampton,,
Francisco Femenía Far,Watford,Wolverhampton,,False,29,,,,,0,,,0.3,0,0,3,0.13,2.4,0.0,54.14,0.1,2.0,Watford,False,Southampton,,
Francisco Femenía Far,Watford,Southampton,,False,90,,,,,2,,,0.7,0,0,1,0.12,1.6,0.0,55.38,0.1,1.0,Watford,False,Liverpool,,
Francisco Femenía Far,Watford,Liverpool,,False,90,,,,,1,,,1.4,0,0,2,0.11,1.4,0.0,56.53,0.09,1.0,Watford,True,Leicester City,,
Francisco Femenía Far,Watford,Leicester City,,True,90,,,,,1,,,3.2,0,0,3,0.11,1.6,0.0,57.61,0.09,2.0,Watford,True,Brentford,,
Francisco Femenía Far,Watford,Brentford,,True,87,,,,,2,,,5.7,0,0,1,0.12,1.2,0.0,58.53,0.08,0.0,Watford,False,Manchester City,,
Francisco Femenía Far,Watford,Manchester City,,False,0,,,,,0,,,0.0,0,0,0,0.12,1.2,0.0,56.76,0.08,1.0,Watford,True,Burnley,,
Francisco Femenía Far,Watford,Burnley,,True,90,,,,,1,,,3.3,0,0,2,0.12,1.0,0.0,57.74,0.08,2.0,Watford,False,Crystal Palace,,
Francisco Femenía Far,Watford,Crystal Palace,,False,90,,,,,2,,,7.4,0,0,1,0.16,1.2,0.0,58.66,0.08,0.0,Watford,True,Everton,,
Francisco Femenía Far,Watford,Everton,,True,0,,,,,0,,,0.0,0,0,0,0.16,1.0,0.0,57.03,0.08,0.0,Watford,True,Leeds United,,
Francisco Femenía Far,Watford,Leeds United,,True,0,,,,,0,,,0.0,0,0,0,0.12,0.6,0.0,55.49,0.08,1.0,Watford,False,Chelsea,,
Francisco Femenía Far,Watford,Chelsea,,False,90,,,,,1,,,0.0,0,0,2,0.12,0.8,0.0,56.39,0.07,,Brentford,False,Leeds United,,
