name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,form,xG&A_form,minutes_per_game,clean_sheet_probability,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Emerson Aparecido Leite de Souza Junior,Spurs,Crystal Palace,,False,90,,,,,1,,,2.3,0,0,3,1.0,0.0,90.0,0.0,1.0,Spurs,True,Chelsea,,
Emerson Aparecido Leite de Souza Junior,Spurs,Chelsea,2021-09-19,True,90,0.0,0.0,0.0,0.1,1,0.0,1.0,4.5,0,0,3,1.0,0.0,90.0,0.0,1.0,Spurs,False,Arsenal,,
Emerson Aparecido Leite de Souza Junior,Spurs,Arsenal,,False,45,,,,,1,,,1.7,0,0,0,1.0,0.0,75.0,0.0,2.0,Spurs,True,Aston Villa,,
Emerson Aparecido Leite de Souza Junior,Spurs,Aston Villa,,True,90,,,,,2,,,6.6,0,0,1,1.25,0.0,78.75,0.0,0.0,Spurs,False,Newcastle United,,
Emerson Aparecido Leite de Souza Junior,Spurs,Newcastle United,,False,90,,,,,0,,,1.8,0,0,2,1.0,0.0,81.0,0.0,2.0,Spurs,False,West Ham,,
Emerson Aparecido Leite de Souza Junior,Spurs,West Ham,2021-10-24,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,1.4,0,0,1,1.2,0.0,82.5,0.0,1.0,Spurs,True,Manchester United,,
Emerson Aparecido Leite de Souza Junior,Spurs,Manchester United,2021-10-30,True,90,0.0,0.0,0.0,0.02,1,0.0,1.0,4.6,0,0,3,1.2,0.0,83.57,0.0,6.0,Spurs,False,Everton,,
Emerson Aparecido Leite de Souza Junior,Spurs,Everton,2021-11-07,False,90,0.0,0.05,0.0,0.02,6,1.0,1.0,1.9,0,1,0,2.2,0.01,84.38,0.12,1.0,Spurs,True,Leicester City,,
Emerson Aparecido Leite de Souza Junior,Spurs,Leicester City,,True,90,,,,,1,,,3.2,0,0,1,2.0,0.01,85.0,0.11,8.0,Spurs,True,Brentford,,
Emerson Aparecido Leite de Souza Junior,Spurs,Brentford,,True,82,,,,,8,,,1.3,2,1,0,3.6,0.01,84.7,0.2,0.0,Spurs,True,Norwich,,
Emerson Aparecido Leite de Souza Junior,Spurs,Norwich,2021-12-05,True,0,0.0,0.04,0.0,0.3,0,1.0,5.0,0.0,0,0,0,3.2,0.02,77.0,0.2,0.0,Spurs,True,Liverpool,,
Emerson Aparecido Leite de Souza Junior,Spurs,Liverpool,,True,90,,,,,0,,,4.4,0,0,2,3.0,0.02,78.08,0.18,11.0,Spurs,True,Crystal Palace,,
Emerson Aparecido Leite de Souza Junior,Spurs,Crystal Palace,,True,90,,,,,11,,,13.1,2,1,0,4.0,0.01,79.0,0.25,2.0,Spurs,False,Southampton,,
Emerson Aparecido Leite de Souza Junior,Spurs,Southampton,,False,76,,,,,2,,,1.4,0,0,1,4.2,0.01,78.79,0.23,8.0,Spurs,False,Watford,,
Emerson Aparecido Leite de Souza Junior,Spurs,Watford,,False,90,,,,,8,,,13.9,2,1,0,4.2,0.01,79.53,0.29,1.0,Spurs,False,Leeds United,,
Emerson Aparecido Leite de Souza Junior,Spurs,Leeds United,,False,45,,,,,1,,,5.2,0,0,1,4.4,0.0,77.38,0.27,0.0,Spurs,False,Chelsea,,
Emerson Aparecido Leite de Souza Junior,Spurs,Chelsea,,False,0,,,,,0,,,0.0,0,0,0,4.4,0.0,72.82,0.27,1.0,Spurs,True,Southampton,,
Emerson Aparecido Leite de Souza Junior,Spurs,Southampton,,True,90,,,,,1,,,1.6,0,0,3,2.4,0.0,73.78,0.25,1.0,Spurs,True,Wolverhampton,,
Emerson Aparecido Leite de Souza Junior,Spurs,Wolverhampton,,True,8,,,,,1,,,1.4,0,0,0,2.2,0.0,70.32,0.24,2.0,Spurs,False,Manchester City,,
Emerson Aparecido Leite de Souza Junior,Spurs,Manchester City,2022-02-19,False,82,0.0,0.0,0.0,0.0,2,0.0,0.0,2.2,0,0,1,1.0,0.0,70.9,0.22,6.0,Spurs,False,Burnley,,
Emerson Aparecido Leite de Souza Junior,Spurs,Burnley,,False,64,,,,,6,,,7.1,0,1,0,2.0,0.0,70.57,0.26,1.0,Spurs,False,Leicester City,,
Emerson Aparecido Leite de Souza Junior,Spurs,Leicester City,,False,12,,,,,1,,,0.4,0,0,0,2.2,0.0,67.91,0.25,0.0,Spurs,True,Everton,,
Emerson Aparecido Leite de Souza Junior,Spurs,Everton,,True,0,,,,,0,,,0.0,0,0,0,2.0,0.0,64.96,0.25,0.0,Spurs,False,Manchester United,,
Emerson Aparecido Leite de Souza Junior,Spurs,Manchester United,,False,0,,,,,0,,,0.0,0,0,0,1.8,0.0,62.25,0.25,1.0,Spurs,False,Brighton,,
Emerson Aparecido Leite de Souza Junior,Spurs,Brighton,,False,10,,,,,1,,,1.6,0,0,0,1.6,0.0,60.16,0.24,1.0,Spurs,True,West Ham,,
