name,team,opponent_team,date,was_home,minutes,xG,total_points,ict_index,bonus,starts,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Yago de Santiago Alonso,Spurs,Manchester City,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,West Ham,,0.49
Yago de Santiago Alonso,Spurs,West Ham,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Newcastle United,,0.55
Yago de Santiago Alonso,Spurs,Newcastle United,2023-12-10,True,0,0.69,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Nottingham Forest,,-0.55
Yago de Santiago Alonso,Spurs,Nottingham Forest,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Everton,,0.53
Yago de Santiago Alonso,Spurs,Everton,2023-12-23,True,0,1.82,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Brighton,,-0.6
Yago de Santiago Alonso,Spurs,Brighton,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Bournemouth,,1.22
Yago de Santiago Alonso,Spurs,Bournemouth,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Manchester United,,-0.63
Yago de Santiago Alonso,Spurs,Manchester United,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Brentford,,0.79
Yago de Santiago Alonso,Spurs,Brentford,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Everton,,-0.24
Yago de Santiago Alonso,Spurs,Everton,2024-02-03,False,0,2.67,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Brighton,,-0.66
Yago de Santiago Alonso,Spurs,Brighton,2024-02-10,True,0,1.76,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Wolverhampton,,0.05
Yago de Santiago Alonso,Spurs,Wolverhampton,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Crystal Palace,,0.88
Yago de Santiago Alonso,Spurs,Crystal Palace,2024-03-02,True,0,2.43,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Aston Villa,,0.29
Yago de Santiago Alonso,Spurs,Aston Villa,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Fulham,,0.86
Yago de Santiago Alonso,Spurs,Fulham,2024-03-16,False,0,0.85,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Luton,,
Yago de Santiago Alonso,Spurs,Luton,2024-03-30,True,0,0.4,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,West Ham,,-0.22
Yago de Santiago Alonso,Spurs,West Ham,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Nottingham Forest,,1.55
Yago de Santiago Alonso,Spurs,Nottingham Forest,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Newcastle United,,-0.41
Yago de Santiago Alonso,Spurs,Newcastle United,2024-04-13,False,0,0.81,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Arsenal,,-0.11
Yago de Santiago Alonso,Spurs,Arsenal,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Chelsea,,-0.85
Yago de Santiago Alonso,Spurs,Chelsea,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Liverpool,,-1.01
Yago de Santiago Alonso,Spurs,Liverpool,,False,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Burnley,,0.39
Yago de Santiago Alonso,Spurs,Burnley,2024-05-11,True,0,0.64,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,True,Manchester City,,-0.96
Yago de Santiago Alonso,Spurs,Manchester City,,True,0,,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,0.0,Spurs,False,Sheffield,,-0.61
Yago de Santiago Alonso,Spurs,Sheffield,2024-05-19,False,0,2.07,0,0.0,0,0,0.0,0,0.0,0,0,0.02,0.0,0,,Leicester,True,Tottenham,,0.69
