name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Josh Brownhill,Burnley,Manchester City,2023-08-11,True,1,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,26648,1.0,0.0,1.0,0.0,Burnley,True,Aston Villa,,0.64
Josh Brownhill,Burnley,Aston Villa,,True,0,,,,,0,,,0.0,0,0,19492,0.5,0.0,0.5,5.0,Burnley,True,Tottenham,,0.69
Josh Brownhill,Burnley,Tottenham,2023-09-02,True,45,1.0,0.16,0.0,0.03,5,3.0,1.0,8.0,0,0,16075,2.0,0.05,15.33,2.0,Burnley,False,Nottingham Forest,,-0.55
Josh Brownhill,Burnley,Nottingham Forest,2023-09-18,False,90,0.0,0.1,0.0,0.0,2,1.0,0.0,2.1,0,1,16692,2.0,0.07,34.0,2.0,Burnley,True,Manchester United,,0.38
Josh Brownhill,Burnley,Manchester United,2023-09-23,True,85,0.0,0.02,0.0,0.14,2,1.0,3.0,6.0,0,1,16306,2.0,0.06,44.2,2.0,Burnley,False,Newcastle United,,-0.41
Josh Brownhill,Burnley,Newcastle United,2023-09-30,False,90,0.0,0.0,0.0,0.05,2,0.0,1.0,2.9,0,1,22264,2.2,0.06,51.83,2.0,Burnley,False,Luton,,
Josh Brownhill,Burnley,Luton,2023-10-03,False,90,0.0,0.12,0.0,0.19,2,3.0,3.0,6.7,0,1,22264,2.6,0.08,57.29,2.0,Burnley,True,Chelsea,,-0.25
Josh Brownhill,Burnley,Chelsea,2023-10-07,True,90,0.0,0.0,0.0,0.08,2,0.0,1.0,3.0,0,1,19502,2.0,0.05,61.38,1.0,Burnley,False,Brentford,,-0.53
Josh Brownhill,Burnley,Brentford,2023-10-21,False,24,0.0,0.0,0.0,0.0,1,0.0,0.0,0.5,0,0,18627,1.8,0.03,57.22,2.0,Burnley,False,Bournemouth,,0.19
Josh Brownhill,Burnley,Bournemouth,2023-10-28,False,90,0.0,0.0,0.0,0.0,2,0.0,0.0,2.7,0,1,16763,1.8,0.02,60.5,2.0,Burnley,True,Crystal Palace,,0.88
Josh Brownhill,Burnley,Crystal Palace,2023-11-04,True,90,0.0,0.02,0.0,0.07,2,1.0,2.0,5.1,0,1,16411,1.8,0.03,63.18,7.0,Burnley,False,Arsenal,,-0.48
Josh Brownhill,Burnley,Arsenal,2023-11-11,False,84,1.0,0.07,0.0,0.01,7,1.0,1.0,6.7,0,1,15413,2.8,0.02,64.92,2.0,Burnley,True,West Ham,,0.49
Josh Brownhill,Burnley,West Ham,2023-11-25,True,90,0.0,0.06,0.0,0.0,2,1.0,0.0,1.0,0,1,19280,2.8,0.03,66.85,8.0,Burnley,True,Sheffield,,0.68
Josh Brownhill,Burnley,Sheffield,2023-12-02,True,90,1.0,0.05,0.0,0.0,8,2.0,0.0,7.1,0,1,23665,4.2,0.04,68.5,1.0,Burnley,False,Wolverhampton,,-0.52
Josh Brownhill,Burnley,Wolverhampton,2023-12-05,False,90,0.0,0.08,0.0,0.0,1,2.0,0.0,3.8,0,1,32495,4.0,0.06,69.93,2.0,Burnley,False,Brighton,,-0.6
