name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,last_season_goals,last_season_assists,last_season_xG,last_season_xA,last_season_points_per_minute,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Cheikhou Kouyaté,Nott'm Forest,Aston Villa,,False,0,,,,,0,,,0.0,0,0,0.02,0.0,0.0,7.73,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Liverpool,,0.18
Cheikhou Kouyaté,Nott'm Forest,Liverpool,,True,0,,,,,0,,,0.0,0,0,0.02,0.0,0.0,7.44,1.0,0.0,0.19,1.01,0.04,1.0,Nott'm Forest,False,Brighton,,-0.6
Cheikhou Kouyaté,Nott'm Forest,Brighton,2024-03-10,False,3,0.0,0.02,0.0,0.0,1,1.0,0.0,0.1,0,0,0.02,0.2,0.0,7.29,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,False,Luton,,
Cheikhou Kouyaté,Nott'm Forest,Luton,,False,0,,,,,0,,,0.0,0,0,0.02,0.2,0.0,7.03,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Crystal Palace,,0.88
Cheikhou Kouyaté,Nott'm Forest,Crystal Palace,,True,0,,,,,0,,,0.0,0,0,0.02,0.2,0.0,6.8,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Fulham,,-0.13
Cheikhou Kouyaté,Nott'm Forest,Fulham,,True,0,,,,,0,,,0.0,0,0,0.02,0.2,0.0,6.58,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,False,Tottenham,,-0.36
Cheikhou Kouyaté,Nott'm Forest,Tottenham,,False,0,,,,,0,,,0.0,0,0,0.02,0.2,0.0,6.38,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Wolverhampton,,0.05
Cheikhou Kouyaté,Nott'm Forest,Wolverhampton,,True,0,,,,,0,,,0.0,0,0,0.02,0.0,0.0,6.18,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,False,Everton,,-0.24
Cheikhou Kouyaté,Nott'm Forest,Everton,,False,0,,,,,0,,,0.0,0,0,0.02,0.0,0.0,6.0,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Manchester City,,-0.96
Cheikhou Kouyaté,Nott'm Forest,Manchester City,,True,0,,,,,0,,,0.0,0,0,0.02,0.0,0.0,5.83,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,False,Sheffield,,-0.61
Cheikhou Kouyaté,Nott'm Forest,Sheffield,,False,0,,,,,0,,,0.0,0,0,0.02,0.0,0.0,5.67,1.0,0.0,0.19,1.01,0.04,0.0,Nott'm Forest,True,Chelsea,,-0.25
Cheikhou Kouyaté,Nott'm Forest,Chelsea,,True,0,,,,,0,,,0.0,0,0,0.02,0.0,0.0,5.51,1.0,0.0,0.19,1.01,0.04,1.0,Nott'm Forest,False,Burnley,,0.0
Cheikhou Kouyaté,Nott'm Forest,Burnley,2024-05-19,False,2,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0,0,0.02,0.2,0.0,5.42,1.0,0.0,0.19,1.01,0.04,,Fulham,False,Manchester United,,-0.63
