name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,starts,selected,form,xG&A_form,minutes_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty
Ross Stewart,Southampton,Newcastle United,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,64653.0,0.0,0.0,0.0,0.0,Southampton,True,Nottingham Forest,,1.2,0.0,0.0,
Ross Stewart,Southampton,Nottingham Forest,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,57433.0,0.0,0.0,0.0,0.0,Southampton,False,Brentford,,-0.15,0.0,0.0,
Ross Stewart,Southampton,Brentford,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,58148.0,0.0,0.0,0.0,1.0,Southampton,True,Manchester United,,0.39,0.0,0.0,
Ross Stewart,Southampton,Manchester United,2024-09-14,True,28.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.1,0.0,0.0,79532.0,0.25,0.0,7.0,0.0,Southampton,True,Ipswich Town,,,28.0,28.0,
Ross Stewart,Southampton,Ipswich Town,2024-09-21,True,31.0,0.0,0.07,0.0,0.0,0.0,1.0,0.0,0.6,0.0,0.0,209798.0,0.2,0.01,11.8,1.0,Southampton,False,Bournemouth,,-0.04,59.0,59.0,
Ross Stewart,Southampton,Bournemouth,2024-09-30,False,45.0,0.0,0.06,0.0,0.0,1.0,1.0,0.0,1.4,0.0,0.0,357542.0,0.4,0.03,17.33,1.0,Southampton,False,Arsenal,,-0.56,104.0,104.0,
Ross Stewart,Southampton,Arsenal,2024-10-05,False,26.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,411520.0,0.6,0.03,18.57,0.0,Southampton,True,Leicester City,,0.47,102.0,130.0,
Ross Stewart,Southampton,Leicester City,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,372779.0,0.6,0.03,16.25,0.0,Southampton,False,Manchester City,,-1.51,71.0,130.0,
Ross Stewart,Southampton,Manchester City,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,327242.0,0.4,0.03,14.44,0.0,Southampton,True,Everton,,0.61,26.0,102.0,
Ross Stewart,Southampton,Everton,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,281163.0,0.4,0.01,13.0,0.0,Southampton,False,Wolverhampton,,-0.53,0.0,71.0,
Ross Stewart,Southampton,Wolverhampton,,False,0.0,,,,,0.0,,,0.0,0.0,0.0,248150.0,0.2,0.0,11.82,,Southampton,True,Liverpool,,0.24,0.0,26.0,
Ross Stewart,Southampton,,,,,,,,,,,,,,,,,,,,Southampton,False,Brighton,,-0.61,0.0,0.0,
Ross Stewart,Southampton,,,,,,,,,,,,,,,,,,,,Southampton,True,Chelsea,,0.0,0.0,0.0,
