name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,last_season_clean_sheet_probability,last_season_total_saves,last_season_expected_goals_conceded,next_week_points
Ederson Santana de Moraes,Man City,West Ham,,False,90,0,0.0,1,0,7,1,1,,0,7.0,0,90.0,1.0,1.0,0.54,60,0,6.0
Ederson Santana de Moraes,Man City,Bournemouth,,True,90,0,0.0,1,0,6,0,1,,0,6.5,0,90.0,1.0,1.0,0.54,60,0,1.0
Ederson Santana de Moraes,Man City,Newcastle United,,False,90,3,0.0,2,0,1,0,0,,0,4.67,0,90.0,0.67,1.33,0.54,60,0,1.0
Ederson Santana de Moraes,Man City,Crystal Palace,,True,90,2,0.0,1,0,1,0,0,,0,3.75,0,90.0,0.5,1.25,0.54,60,0,6.0
Ederson Santana de Moraes,Man City,Nottingham Forest,,True,90,0,0.0,1,0,6,0,1,,0,4.2,0,90.0,0.6,1.2,0.54,60,0,2.0
Ederson Santana de Moraes,Man City,Aston Villa,,False,90,1,0.0,0,0,2,0,0,,0,3.2,0,90.0,0.5,1.0,0.54,60,0,6.0
Ederson Santana de Moraes,Man City,Wolverhampton,,False,90,0,0.0,1,0,6,0,1,,0,3.2,0,90.0,0.57,1.0,0.54,60,0,2.0
Ederson Santana de Moraes,Man City,Manchester United,,True,90,3,0.0,5,0,2,0,0,,0,3.4,0,90.0,0.5,1.5,0.54,60,0,6.0
Ederson Santana de Moraes,Man City,Southampton,,True,90,0,0.0,0,0,6,0,1,,0,4.4,0,90.0,0.56,1.33,0.54,60,0,2.0
Ederson Santana de Moraes,Man City,Liverpool,,False,90,1,0.0,1,0,2,0,0,,0,3.6,0,90.0,0.5,1.3,0.54,60,0,5.0
Ederson Santana de Moraes,Man City,Brighton,,True,90,1,0.0,1,0,5,0,0,,0,4.2,0,90.0,0.45,1.27,0.54,60,0,9.0
Ederson Santana de Moraes,Man City,Leeds United,,False,90,0,0.0,5,0,9,2,1,,0,4.8,0,90.0,0.5,1.58,0.54,60,0,2.0
Ederson Santana de Moraes,Man City,Fulham,,True,90,1,0.0,1,0,2,0,0,,0,4.8,0,90.0,0.46,1.54,0.54,60,0,2.0
