name,team,opponent_team,date,was_home,minutes,goals_conceded,expected_goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,starts,form,clean_sheet_probability,saves_per_game,last_season_penalties_saved,last_season_expected_goals_conceded,last_season_clean_sheet_probability,last_season_total_saves,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
David Raya Martin,Brentford,Leeds United,2022-08-07,False,90,2,0.0,3,0,2,0,False,0.0,False,0.0,0.0,3.0,0,0,0,0,0,Brentford,False,Newcastle United,0.38,-0.34
David Raya Martin,Brentford,Newcastle United,2022-10-08,False,90,5,0.0,2,0,0,0,False,0.0,False,2.0,0.0,2.5,0,0,0,0,10,Brentford,True,Brighton,0.05,-0.71
David Raya Martin,Brentford,Brighton,2022-10-14,True,90,0,0.0,7,0,10,2,True,0.0,False,1.0,0.33,4.0,0,0,0,0,10,Brentford,True,Chelsea,1.02,-0.25
David Raya Martin,Brentford,Chelsea,2022-10-19,True,90,0,0.0,5,0,10,3,True,0.0,False,4.0,0.5,4.25,0,0,0,0,2,Brentford,False,Aston Villa,0.66,0.59
David Raya Martin,Brentford,Aston Villa,2022-10-23,False,90,4,0.0,7,0,2,0,False,0.0,False,5.5,0.4,4.8,0,0,0,0,3,Brentford,True,Wolverhampton,1.93,-0.48
David Raya Martin,Brentford,Wolverhampton,2022-10-29,True,90,1,0.0,3,0,3,0,False,0.0,False,4.8,0.33,4.5,0,0,0,0,2,Brentford,False,Nottingham Forest,,
David Raya Martin,Brentford,Nottingham Forest,2022-11-05,False,90,2,0.0,5,0,2,0,False,0.0,False,5.0,0.29,4.57,0,0,0,0,3,Brentford,False,Manchester City,1.7,-1.26
David Raya Martin,Brentford,Manchester City,2022-11-12,False,90,1,1.61,5,0,3,0,False,0.0,True,5.4,0.25,4.62,0,0,0,0,3,Brentford,True,Tottenham,-0.82,1.07
David Raya Martin,Brentford,Tottenham,2022-12-26,True,90,2,1.07,6,0,3,0,False,0.0,True,4.0,0.22,4.78,0,0,0,0,9,Brentford,False,West Ham,-2.82,0.14
David Raya Martin,Brentford,West Ham,2022-12-30,False,90,0,1.24,5,0,9,2,True,0.0,True,2.6,0.3,4.8,0,0,0,0,3,Brentford,True,Liverpool,-3.03,-0.53
David Raya Martin,Brentford,Liverpool,2023-01-02,True,90,1,2.03,4,0,3,0,False,0.0,True,4.0,0.27,4.73,0,0,0,0,7,Brentford,True,Manchester United,2.88,0.38
David Raya Martin,Brentford,Manchester United,2022-08-13,True,90,0,0.0,4,0,7,0,True,0.0,False,4.0,0.33,4.67,0,0,0,0,5,Brentford,True,Bournemouth,,1.46
David Raya Martin,Brentford,Bournemouth,2023-01-14,True,90,0,0.47,2,0,5,0,True,0.0,True,5.0,0.38,4.46,0,0,0,0,10,Brentford,False,Leicester City,-0.7,-0.05
David Raya Martin,Brentford,Leicester City,2023-01-22,False,90,0,0.5,5,0,10,3,True,0.02,True,5.4,0.43,4.5,0,0,0,0,7,Brentford,True,Southampton,-5.29,-0.38
David Raya Martin,Brentford,Southampton,2023-02-04,True,90,0,0.63,5,0,7,0,True,0.0,True,6.8,0.47,4.53,0,0,0,0,6,Brentford,False,Arsenal,1.21,-0.0
David Raya Martin,Brentford,Arsenal,2023-02-11,False,90,1,1.68,6,0,6,2,False,0.0,True,6.4,0.44,4.62,0,0,0,0,3,Brentford,True,Crystal Palace,-1.39,0.81
David Raya Martin,Brentford,Crystal Palace,2023-02-18,True,90,1,1.11,3,0,3,0,False,0.0,True,7.0,0.41,4.53,0,0,0,0,2,Brentford,True,Fulham,,-0.3
David Raya Martin,Brentford,Fulham,2023-03-06,True,90,2,1.42,3,0,2,0,False,0.0,True,6.2,0.39,4.44,0,0,0,0,3,Brentford,False,Everton,1.61,-0.63
David Raya Martin,Brentford,Everton,2023-03-11,False,90,1,1.03,5,0,3,0,False,0.0,True,5.6,0.37,4.47,0,0,0,0,6,Brentford,False,Southampton,4.95,-1.07
David Raya Martin,Brentford,Southampton,2023-03-15,False,90,0,0.51,0,0,6,0,True,0.0,True,4.2,0.4,4.25,0,0,0,0,2,Brentford,True,Leeds United,2.58,-0.79
David Raya Martin,Brentford,Leeds United,2023-03-18,True,90,1,1.35,0,0,2,0,False,0.0,True,4.0,0.38,4.05,0,0,0,0,6,Brentford,False,Brighton,2.12,-0.39
David Raya Martin,Brentford,Brighton,2023-04-01,False,90,3,4.45,11,0,6,2,False,0.0,True,3.2,0.36,4.36,0,0,0,0,2,Brentford,False,Manchester United,,-0.1
David Raya Martin,Brentford,Manchester United,2023-04-05,False,90,1,1.1,2,0,2,0,False,0.0,True,3.8,0.35,4.26,0,0,0,0,3,Brentford,False,Fulham,3.1,1.37
