name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Kristoffer Klaesson,Leeds,Manchester United,,False,0,0,0,0,0,0,0,,0.09,0.0,0,0.0,0.0,0.0,0.0,Leeds,True,Everton,,
Kristoffer Klaesson,Leeds,Everton,,True,0,0,0,0,0,0,0,,0.11,0.0,0,0.0,0.0,0.0,0.0,Leeds,False,Burnley,,
Kristoffer Klaesson,Leeds,Burnley,,False,0,0,0,0,0,0,0,,0.11,0.0,0,0.0,0.0,0.0,0.0,Leeds,True,Liverpool,,
Kristoffer Klaesson,Leeds,Liverpool,,True,0,0,0,0,0,0,0,,0.11,0.0,0,0.0,0.0,0.0,0.0,Leeds,False,Newcastle United,,
Kristoffer Klaesson,Leeds,Newcastle United,,False,0,0,0,0,0,0,0,,0.11,0.0,0,0.0,0.0,0.0,0.0,Leeds,True,West Ham,,
Kristoffer Klaesson,Leeds,West Ham,,True,0,0,0,0,0,0,0,,0.11,0.0,0,0.0,0.0,0.0,0.0,Leeds,True,Watford,,
Kristoffer Klaesson,Leeds,Watford,,True,0,0,0,0,0,0,0,,0.11,0.0,0,0.0,0.0,0.0,0.0,Leeds,False,Southampton,,
Kristoffer Klaesson,Leeds,Southampton,,False,0,0,0,0,0,0,0,,0.1,0.0,0,0.0,0.0,0.0,0.0,Leeds,True,Wolverhampton,,
Kristoffer Klaesson,Leeds,Wolverhampton,,True,0,0,0,0,0,0,0,,0.1,0.0,0,0.0,0.0,0.0,0.0,Leeds,False,Norwich,,
Kristoffer Klaesson,Leeds,Norwich,,False,0,0,0,0,0,0,0,,0.1,0.0,0,0.0,0.0,0.0,0.0,Leeds,True,Leeds United,,
Kristoffer Klaesson,Leeds,Leeds United,,True,0,0,0,0,0,0,0,,0.1,0.0,0,0.0,0.0,0.0,0.0,Leeds,False,Tottenham,,
Kristoffer Klaesson,Leeds,Tottenham,,False,0,0,0,0,0,0,0,,0.1,0.0,0,0.0,0.0,0.0,0.0,Leeds,False,Brighton,,
Kristoffer Klaesson,Leeds,Brighton,,False,0,0,0,0,0,0,0,,0.1,0.0,0,0.0,0.0,0.0,0.0,Leeds,True,Crystal Palace,,
Kristoffer Klaesson,Leeds,Crystal Palace,,True,0,0,0,0,0,0,0,,0.1,0.0,0,0.0,0.0,0.0,0.0,Leeds,True,Brentford,,
