name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Martin Dubravka,Newcastle,West Ham,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,False,Aston Villa,,
Martin Dubravka,Newcastle,Aston Villa,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,True,Southampton,,
Martin Dubravka,Newcastle,Southampton,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,False,Manchester United,,
Martin Dubravka,Newcastle,Manchester United,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,True,Leicester City,,
Martin Dubravka,Newcastle,Leicester City,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,False,Watford,,
Martin Dubravka,Newcastle,Watford,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,False,Wolverhampton,,
Martin Dubravka,Newcastle,Wolverhampton,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,True,Tottenham,,
Martin Dubravka,Newcastle,Tottenham,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,False,Crystal Palace,,
Martin Dubravka,Newcastle,Crystal Palace,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,True,Chelsea,,
Martin Dubravka,Newcastle,Chelsea,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,False,Brighton,,
Martin Dubravka,Newcastle,Brighton,,False,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,0.0,Newcastle,True,Brentford,,
Martin Dubravka,Newcastle,Brentford,,True,0,0,0,0,0,0,0,,0.0,0,0.0,0.0,0.0,2.0,Newcastle,False,Arsenal,,
Martin Dubravka,Newcastle,Arsenal,2021-11-27,False,90,2,4,0,2,0,0,0.0,0.4,0,6.92,0.0,4.0,3.0,Newcastle,True,Norwich,,
Martin Dubravka,Newcastle,Norwich,2021-11-30,True,90,1,5,0,3,0,0,0.0,1.0,0,12.86,0.0,4.5,6.0,Newcastle,True,Burnley,,
