name,team,opponent_team,date,was_home,minutes,goals_conceded,saves,penalties_saved,total_points,bonus,clean_sheets,xA,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,saves_per_game,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty
Jordan Pickford,Everton,Southampton,2021-08-14,True,90,1,2,0,2,0,0,0.0,446969,2.0,0,90.0,0.0,2.0,1.0,Everton,False,Leicester City,,
Jordan Pickford,Everton,Leicester City,2021-08-21,False,90,2,2,0,1,0,0,0.0,502827,1.5,0,90.0,0.0,2.0,6.0,Everton,False,Brighton,,
Jordan Pickford,Everton,Brighton,2021-08-28,False,90,0,3,0,6,0,1,0.02,493892,3.0,0,90.0,0.33,2.33,3.0,Everton,True,Burnley,,
Jordan Pickford,Everton,Burnley,2021-09-13,True,90,1,5,0,3,0,0,0.0,603366,3.0,0,90.0,0.25,3.0,0.0,Everton,False,Aston Villa,,
Jordan Pickford,Everton,Aston Villa,,False,0,0,0,0,0,0,0,,577123,2.4,0,72.0,0.25,3.0,6.0,Everton,True,Norwich,,
Jordan Pickford,Everton,Norwich,2021-09-25,True,90,0,2,0,6,0,1,0.0,443057,3.2,0,75.0,0.4,2.8,3.0,Everton,False,Manchester United,,
Jordan Pickford,Everton,Manchester United,2021-10-02,False,90,1,5,0,3,0,0,0.0,432261,3.6,0,77.14,0.33,3.17,3.0,Everton,True,West Ham,,
Jordan Pickford,Everton,West Ham,2021-10-17,True,90,1,3,0,3,0,0,0.0,433202,3.0,0,78.75,0.29,3.14,1.0,Everton,True,Watford,,
Jordan Pickford,Everton,Watford,2021-10-23,True,90,5,3,0,1,0,0,0.0,447989,2.6,0,80.0,0.25,3.12,1.0,Everton,False,Wolverhampton,,
Jordan Pickford,Everton,Wolverhampton,2021-11-01,False,90,2,2,0,1,0,0,0.0,426436,2.8,0,81.0,0.22,3.0,6.0,Everton,True,Tottenham,,
Jordan Pickford,Everton,Tottenham,2021-11-07,True,90,0,0,0,6,0,1,0.0,411471,2.8,0,81.82,0.3,2.7,2.0,Everton,False,Manchester City,,
Jordan Pickford,Everton,Manchester City,2021-11-21,False,90,3,4,0,2,0,0,0.0,399112,2.6,0,82.5,0.27,2.82,3.0,Everton,False,Brentford,,
Jordan Pickford,Everton,Brentford,2021-11-28,False,90,1,3,0,3,0,0,0.0,394101,2.6,0,83.08,0.25,2.83,1.0,Everton,True,Liverpool,,
Jordan Pickford,Everton,Liverpool,2021-12-01,True,90,4,3,0,1,0,0,0.0,384835,2.6,0,83.57,0.23,2.85,2.0,Everton,True,Arsenal,,
Jordan Pickford,Everton,Arsenal,2021-12-06,True,90,1,2,0,2,0,0,0.0,376571,2.8,0,84.0,0.21,2.79,2.0,Everton,False,Crystal Palace,,
Jordan Pickford,Everton,Crystal Palace,2021-12-12,False,90,3,3,0,2,0,0,0.0,374809,2.0,0,84.38,0.2,2.8,8.0,Everton,False,Chelsea,,
Jordan Pickford,Everton,Chelsea,2021-12-16,False,90,1,9,0,8,3,0,0.0,367782,3.2,0,84.71,0.19,3.19,1.0,Everton,True,Brighton,,
Jordan Pickford,Everton,Brighton,2022-01-02,True,90,3,2,0,1,0,0,0.0,499596,2.8,0,85.0,0.18,3.12,1.0,Everton,False,Norwich,,
Jordan Pickford,Everton,Norwich,2022-01-15,False,90,2,2,0,1,0,0,0.0,421714,2.8,0,85.26,0.17,3.06,2.0,Everton,True,Aston Villa,,
Jordan Pickford,Everton,Aston Villa,2022-01-22,True,90,1,2,0,2,0,0,0.04,416579,2.8,0,85.5,0.16,3.0,4.0,Everton,False,Newcastle United,,
Jordan Pickford,Everton,Newcastle United,2022-02-08,False,90,3,7,0,4,1,0,0.0,415270,3.2,0,85.71,0.15,3.2,6.0,Everton,True,Leicester City,,
Jordan Pickford,Everton,Leicester City,2022-02-12,True,90,0,0,0,6,0,1,0.0,406119,2.8,0,85.91,0.19,3.05,4.0,Everton,False,Southampton,,
Jordan Pickford,Everton,Southampton,2022-02-19,False,90,2,9,0,4,0,0,0.02,387141,3.4,0,86.09,0.18,3.32,4.0,Everton,True,Manchester City,,
Jordan Pickford,Everton,Manchester City,2022-02-26,True,90,1,7,0,4,0,0,0.0,384962,4.0,0,86.25,0.17,3.48,1.0,Everton,False,Tottenham,,
Jordan Pickford,Everton,Tottenham,2022-03-07,False,90,5,3,0,1,0,0,0.0,389733,3.8,0,86.4,0.17,3.46,2.0,Everton,True,Wolverhampton,,
Jordan Pickford,Everton,Wolverhampton,2022-03-13,True,90,1,2,0,2,0,0,0.0,424424,3.4,0,86.54,0.16,3.4,0.0,Everton,True,Newcastle United,,
Jordan Pickford,Everton,Newcastle United,,True,0,0,0,0,0,0,0,,424424,2.2,0,83.33,0.16,3.4,2.0,Everton,False,West Ham,,
Jordan Pickford,Everton,West Ham,2022-04-03,False,90,2,4,0,2,0,0,0.0,426761,1.8,0,83.57,0.15,3.42,1.0,Everton,False,Burnley,,
Jordan Pickford,Everton,Burnley,2022-04-06,False,90,3,1,0,1,0,0,0.0,426761,1.2,0,83.79,0.15,3.33,9.0,Everton,True,Manchester United,,
Jordan Pickford,Everton,Manchester United,2022-04-09,True,90,0,4,0,9,3,1,0.04,414613,2.8,0,84.0,0.18,3.36,2.0,Everton,True,Leeds United,,
Jordan Pickford,Everton,Leeds United,2022-04-20,True,90,1,2,0,2,0,0,0.0,403536,2.8,0,84.19,0.17,3.31,1.0,Everton,False,Liverpool,,
Jordan Pickford,Everton,Liverpool,2022-04-24,False,90,2,2,0,1,0,0,0.0,401591,3.0,0,84.38,0.17,3.27,10.0,Everton,True,Chelsea,,
Jordan Pickford,Everton,Chelsea,2022-05-01,True,90,0,5,0,10,3,1,0.0,405308,4.6,0,84.55,0.19,3.32,6.0,Everton,False,Leeds United,,
Jordan Pickford,Everton,Leeds United,2022-05-08,False,90,1,7,0,6,2,0,0.0,492771,5.6,0,84.71,0.19,3.44,6.0,Everton,False,Watford,,
Jordan Pickford,Everton,Watford,2022-05-11,False,90,0,0,0,6,0,1,0.0,492771,5.0,0,84.86,0.21,3.33,2.0,Everton,True,Brentford,,
Jordan Pickford,Everton,Brentford,2022-05-15,True,90,3,4,0,2,0,0,0.02,793504,5.0,0,85.0,0.21,3.35,2.0,Everton,True,Crystal Palace,,
Jordan Pickford,Everton,Crystal Palace,2022-05-19,True,90,2,3,0,2,0,0,0.0,793504,5.2,0,85.14,0.2,3.34,0.0,Everton,False,Arsenal,,
Jordan Pickford,Everton,Arsenal,,False,0,0,0,0,0,0,0,,563730,3.2,0,82.89,0.2,3.34,,Everton,True,Chelsea,,
