name,team,opponent_team,date,was_home,minutes,goals,xG,assists,xA,total_points,shots,key_passes,ict_index,bonus,clean_sheets,goals_conceded,expected_goals_conceded,starts,selected,form,xG&A_form,minutes_per_game,clean_sheet_probability,last_season_xG,last_season_xA,last_season_clean_sheet_probability,last_season_expected_goals_conceded,next_week_points,next_team,next_was_home,next_opponent_team,next_week_specific_fixture_difficulty,next_week_holistic_fixture_difficulty,recent_minutes_3g,recent_minutes_5g,adjusted_fixture_difficulty,clean_sheets_3g_avg,clean_sheets_5g_avg,clean_sheets_ema,clean_sheets_momentum_3g,clean_sheets_momentum_5g,form_3g_avg,form_5g_avg,form_ema,form_momentum_3g,form_momentum_5g,xA_3g_avg,xA_5g_avg,xA_ema,xA_momentum_3g,xA_momentum_5g,xG_3g_avg,xG_5g_avg,xG_ema,xG_momentum_3g,xG_momentum_5g,expected_goals_conceded_3g_avg,expected_goals_conceded_5g_avg,expected_goals_conceded_ema,expected_goals_conceded_momentum_3g,expected_goals_conceded_momentum_5g,ict_index_3g_avg,ict_index_5g_avg,ict_index_ema,ict_index_momentum_3g,ict_index_momentum_5g,bonus_3g_avg,bonus_5g_avg,bonus_ema,bonus_momentum_3g,bonus_momentum_5g,next_week_specific_fixture_difficulty_3g_avg,next_week_specific_fixture_difficulty_5g_avg,next_week_specific_fixture_difficulty_ema,next_week_specific_fixture_difficulty_momentum_3g,next_week_specific_fixture_difficulty_momentum_5g,next_week_holistic_fixture_difficulty_3g_avg,next_week_holistic_fixture_difficulty_5g_avg,next_week_holistic_fixture_difficulty_ema,next_week_holistic_fixture_difficulty_momentum_3g,next_week_holistic_fixture_difficulty_momentum_5g,clean_sheets_expected_goals_conceded_3g,clean_sheets_expected_goals_conceded_5g,form_difficulty_3g,clean_sheets_form_interaction,clean_sheets_per_90,xA_per_90,xG_per_90,ict_index_per_90
Michael Keane,Everton,Brighton,2024-08-17,True,90.0,0.0,0.01,0.0,0.0,1.0,1.0,0.0,1.7,0.0,0.0,3.0,1.43,1.0,195758.0,1.0,0.01,90.0,0.0,0.92,0.0,0.25,10.81,0.0,Everton,False,Tottenham,,-0.3,90.0,90.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,1.43,1.43,1.43,0.0,0.0,1.7,1.7,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-0.3,-0.3,-0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.01,1.7
Michael Keane,Everton,Tottenham,2024-08-24,False,90.0,0.0,0.0,0.0,0.12,0.0,0.0,1.0,3.3,0.0,0.0,4.0,2.43,1.0,222239.0,0.5,0.0,90.0,0.0,0.92,0.0,0.25,10.81,6.0,Everton,True,Bournemouth,,0.84,180.0,180.0,,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.8333333333333334,-0.25,-0.25,0.06,0.06,0.039999999999999994,0.06,0.06,0.005,0.005,0.006666666666666668,-0.005,-0.005,1.9300000000000002,1.9300000000000002,1.7633333333333334,0.5,0.5,2.5,2.5,2.2333333333333334,0.7999999999999998,0.7999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.27,0.27,0.07999999999999996,0.57,0.57,0.0,0.0,,0.0,0.0,0.06,0.005,2.5
Michael Keane,Everton,Bournemouth,2024-08-31,True,90.0,1.0,0.48,0.0,0.0,6.0,3.0,0.0,6.7,0.0,0.0,3.0,2.22,1.0,228665.0,2.33,0.16,90.0,0.0,0.92,0.0,0.25,10.81,1.0,Everton,False,Aston Villa,,0.11,270.0,270.0,,0.0,0.0,0.0,0.0,0.0,1.2766666666666666,1.2766666666666666,1.3322222222222222,1.0533333333333335,1.0533333333333335,0.04,0.04,0.026666666666666665,-0.04,-0.04,0.16333333333333333,0.16333333333333333,0.16444444444444442,0.31666666666666665,0.31666666666666665,2.026666666666667,2.026666666666667,1.9155555555555557,0.19333333333333336,0.19333333333333336,3.9,3.9,3.7222222222222223,2.8000000000000003,2.8000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.21666666666666665,0.21666666666666665,0.08999999999999998,-0.10666666666666665,-0.10666666666666665,0.0,0.0,,0.0,0.0,0.04,0.16333333333333333,3.9
Michael Keane,Everton,Aston Villa,2024-09-14,False,90.0,0.0,0.02,0.0,0.0,1.0,1.0,0.0,3.2,0.0,0.0,3.0,2.12,1.0,564328.0,2.0,0.13,90.0,0.0,0.92,0.0,0.25,10.81,1.0,Everton,False,Leicester City,,-0.22,270.0,360.0,,0.0,0.0,0.0,0.0,0.0,1.61,1.4575,1.5548148148148149,0.3899999999999999,0.5425,0.04,0.03,0.017777777777777778,-0.04,-0.03,0.16666666666666666,0.1275,0.1162962962962963,-0.14666666666666667,-0.1075,2.256666666666667,2.05,1.983703703703704,-0.13666666666666671,0.07000000000000028,4.4,3.725,3.5481481481481483,-1.2000000000000002,-0.5249999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.24333333333333332,0.10749999999999998,-0.013333333333333336,-0.4633333333333333,-0.3275,0.0,0.0,,0.0,0.0,0.03,0.1275,3.725
Michael Keane,Everton,Leicester City,2024-09-21,False,90.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.1,0.0,0.0,1.0,0.66,1.0,566968.0,1.8,0.1,90.0,0.0,0.92,0.0,0.25,10.81,0.0,Everton,True,Crystal Palace,,0.88,270.0,450.0,,0.0,0.0,0.0,0.0,0.0,2.0433333333333334,1.526,1.6365432098765433,-0.2433333333333334,0.274,0.0,0.024,0.011851851851851853,0.0,-0.024,0.16666666666666666,0.10200000000000001,0.07753086419753087,-0.16666666666666666,-0.10200000000000001,1.6666666666666667,1.7719999999999998,1.5424691358024694,-1.0066666666666668,-1.1119999999999997,4.0,3.4,3.0654320987654327,-1.9,-1.2999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.25666666666666665,0.262,0.28444444444444444,0.6233333333333333,0.618,0.0,0.0,,0.0,0.0,0.024,0.10200000000000001,3.4
Michael Keane,Everton,Crystal Palace,,True,0.0,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,647057.0,1.6,0.1,75.0,0.0,0.92,0.0,0.25,10.81,6.0,Everton,True,Newcastle United,,0.67,180.0,360.0,,0.0,0.0,0.0,0.0,0.0,1.8,1.6460000000000001,1.6243621399176957,-0.19999999999999996,-0.04600000000000004,0.0,0.024,0.011851851851851853,,,0.006666666666666667,0.1,0.07753086419753087,,,0.9266666666666666,1.4860000000000002,1.0283127572016464,-0.9266666666666666,-1.4860000000000002,1.7666666666666668,3.06,2.0436213991769554,-1.7666666666666668,-3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.44333333333333336,0.45600000000000007,0.412962962962963,0.22666666666666668,0.21399999999999997,0.0,0.0,,0.0,0.0,,,3.4
Michael Keane,Everton,Newcastle United,2024-10-05,True,90.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.5,0.0,1.0,0.0,2.05,1.0,645334.0,2.8,0.1,77.14,0.17,0.92,0.0,0.25,10.81,14.0,Everton,False,Ipswich Town,,,180.0,360.0,,0.3333333333333333,0.2,0.3333333333333333,0.6666666666666667,0.8,2.066666666666667,2.1060000000000003,2.0162414266117974,0.733333333333333,0.6939999999999995,0.0,0.0,0.006772486772486773,0.0,0.0,0.0,0.1,0.04430335097001764,0.0,-0.1,0.9033333333333332,1.41,1.3688751714677643,1.1466666666666665,0.6399999999999999,1.2,2.7,1.8624142661179703,0.30000000000000004,-1.2000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.5166666666666666,0.288,0.412962962962963,,,0.30111111111111105,0.282,,0.6888888888888889,0.16666666666666666,0.02,0.085,3.0833333333333335
Michael Keane,Everton,Ipswich Town,2024-10-19,False,90.0,1.0,0.05,0.0,0.0,14.0,1.0,0.0,7.5,3.0,1.0,0.0,1.25,1.0,701798.0,4.4,0.01,78.75,0.29,0.92,0.0,0.25,10.81,2.0,Everton,True,Fulham,,0.27,180.0,360.0,,0.6666666666666666,0.4,0.5555555555555556,0.33333333333333337,0.6,2.9333333333333336,2.5200000000000005,2.8108276177411984,1.4666666666666668,1.88,0.0,0.0,0.004514991181657849,0.0,0.0,0.016666666666666666,0.014000000000000002,0.04620223398001176,0.03333333333333334,0.036000000000000004,1.0999999999999999,1.216,1.329250114311843,0.15000000000000013,0.03400000000000003,3.0,2.8600000000000003,3.741609510745314,4.5,4.64,1.0,0.6,1.0,2.0,2.4,0.0,0.0,,,,0.3133333333333333,0.31999999999999995,0.3516931216931216,-0.04333333333333328,-0.04999999999999993,0.7333333333333332,0.4864,,1.9555555555555557,0.2857142857142857,0.017142857142857144,0.08,3.7142857142857144
Michael Keane,Everton,Fulham,2024-10-26,True,90.0,0.0,0.02,0.0,0.0,2.0,1.0,0.0,3.7,0.0,0.0,1.0,1.26,1.0,981956.0,4.6,0.01,80.0,0.25,0.92,0.0,0.25,10.81,1.0,Everton,False,Southampton,,-0.31,270.0,360.0,,0.6666666666666666,0.4,0.3703703703703704,-0.6666666666666666,-0.4,3.9333333333333336,3.04,3.4072184118274658,0.6666666666666661,1.5599999999999996,0.0,0.0,0.003009994121105233,0.0,0.0,0.023333333333333334,0.014000000000000002,0.03746815598667451,-0.003333333333333334,0.005999999999999998,1.5199999999999998,1.044,1.306166742874562,-0.2599999999999998,0.21599999999999997,4.233333333333333,2.96,3.7277396738302095,-0.5333333333333332,0.7400000000000002,1.0,0.6,0.6666666666666667,-1.0,-0.6,0.0,0.0,,,,-0.013333333333333364,0.30199999999999994,0.13112874779541445,-0.29666666666666663,-0.6119999999999999,1.0133333333333332,0.4176,,2.6222222222222222,0.25,0.015,0.0725,3.7125
Michael Keane,Everton,Southampton,2024-11-02,False,90.0,0.0,0.22,0.0,0.0,1.0,1.0,0.0,3.3,0.0,0.0,1.0,0.74,1.0,1220911.0,4.6,0.06,81.0,0.22,0.92,0.0,0.25,10.81,0.0,Everton,False,West Ham,,-0.34,270.0,360.0,,0.3333333333333333,0.4,0.24691358024691362,-0.3333333333333333,-0.4,4.533333333333332,3.6,3.804812274551644,0.06666666666666732,0.9999999999999996,0.0,0.0,0.0020066627474034887,0.0,0.0,0.09666666666666668,0.05800000000000001,0.09831210399111634,0.12333333333333332,0.16199999999999998,1.0833333333333333,1.0599999999999998,1.117444495249708,-0.34333333333333327,-0.31999999999999984,4.833333333333333,3.2,3.5851597825534736,-1.5333333333333332,0.09999999999999964,1.0,0.6,0.44444444444444453,-1.0,-0.6,0.0,0.0,,,,-0.1266666666666667,0.05799999999999998,-0.025914168136390373,-0.21333333333333332,-0.398,0.36111111111111105,0.42399999999999993,,1.5111111111111106,0.2222222222222222,0.013333333333333332,0.08888888888888889,3.6666666666666665
