Opponent,Home Difficulty,Away Difficulty
Arsenal,-2.736388753489383,
Aston Villa,,1.9034444439789104
Bournemouth,,6.994160537051426
Brentford,,1.7071572431066204
Brighton,2.153897360398485,-5.1905411130186545
Burnley,-3.4652322655965504,
Chelsea,1.6236598325523712,-1.496333849043979
Crystal Palace,-3.812826808949417,1.583755330429746
Fulham,,-1.223541446315087
Leeds United,3.6310410835248366,
Leicester City,,-1.6317727653047642
Liverpool,0.7566454079971354,
Luton,,
Manchester City,,0.20749576409207438
Manchester United,2.2264132961748127,-2.7886204065788838
Newcastle United,,2.1243633365759784
Norwich,-3.9704184164809804,2.136564487416163
Nottingham Forest,1.1075191802532962,
Sheffield,,
Southampton,-2.7117838952949,-1.9837292056160711
Tottenham,1.661442532223652,2.3963138449991757
Watford,3.836331611929884,
West Ham,0.696481811984821,
Wolverhampton,1.5680930402646398,0.3309526754325524
