Opponent,Home Difficulty,Away Difficulty
Arsenal,4.343737780770844,0.8447425655940787
Aston Villa,1.7793156567696422,
Bournemouth,,
Brentford,,-3.4321286107202136
Brighton,-2.6710344929574195,
Burnley,,-0.25797846886811215
Chelsea,,5.163979065117785
Crystal Palace,,2.939211270581797
Everton,,1.6449934194056006
Fulham,,
Leeds United,-1.775927424835881,
Leicester City,-0.8909920962014812,
Liverpool,-0.4143038606050099,
Luton,,
Manchester City,,2.5269370041484924
Manchester United,0.09313531843892797,
Newcastle United,,0.48739512285307707
Nottingham Forest,,
Sheffield,,
Southampton,-2.9105561606878823,
Tottenham,,3.203913117034684
Watford,2.3996839355783317,
West Ham,,
Wolverhampton,-0.9184481573218977,
