Opponent,Location,Team Score,Opponent Score,Goal Differential
Aston Villa,Home,3,2,1
Brighton,Away,0,2,-2
Tottenham,Away,0,1,-1
Wolverhampton,Home,0,2,-2
Norwich,Away,3,1,2
Newcastle United,Home,1,1,0
Leicester City,Away,0,1,-1
Liverpool,Home,0,5,-5
Everton,Away,5,2,3
Southampton,Home,0,1,-1
Arsenal,Away,0,1,-1
Manchester United,Home,4,1,3
Leeds United,Away,2,4,-2
Chelsea,Home,1,2,-1
Manchester City,Home,1,3,-2
Brentford,Away,1,2,-1
West Ham,Home,1,4,-3
Tottenham,Home,0,1,-1
Newcastle United,Away,1,1,0
Norwich,Home,0,3,-3
Burnley,Away,0,0,0
West Ham,Away,0,1,-1
Brighton,Home,0,2,-2
Aston Villa,Away,1,0,1
Crystal Palace,Home,1,4,-3
Manchester United,Away,0,0,0
Arsenal,Home,2,3,-1
Wolverhampton,Away,0,4,-4
Southampton,Away,2,1,1
Liverpool,Away,0,2,-2
Leicester City,Home,0,3,-3
Brentford,Home,1,2,-1
Manchester City,Away,1,5,-4
Burnley,Home,1,2,-1
Crystal Palace,Away,0,1,-1
Everton,Home,0,0,0
Leeds United,Home,1,5,-4
Chelsea,Away,1,2,-1
