Opponent,Location,Team Score,Opponent Score,Goal Differential
West Ham,Home,1,1,0
Liverpool,Away,1,3,-2
Tottenham,Home,0,2,-2
Brentford,Away,2,2,0
Chelsea,Home,0,0,0
Brighton,Away,1,3,-2
Arsenal,Home,0,4,-4
Everton,Away,0,3,-3
Wolverhampton,Home,1,2,-1
Burnley,Home,2,1,1
Manchester City,Away,1,6,-5
Newcastle United,Home,2,0,2
Sheffield,Away,3,1,2
Aston Villa,Home,2,2,0
Crystal Palace,Away,2,0,2
Manchester United,Away,3,0,3
Nottingham Forest,Away,3,2,1
Fulham,Home,3,0,3
Tottenham,Away,1,3,-2
Liverpool,Home,0,4,-4
West Ham,Away,1,1,0
Nottingham Forest,Home,1,1,0
Fulham,Away,1,3,-2
Newcastle United,Away,2,2,0
Manchester City,Home,0,1,-1
Burnley,Away,2,0,2
Sheffield,Home,2,2,0
Luton,Home,4,3,1
Everton,Home,2,1,1
Crystal Palace,Home,1,0,1
Luton,Away,1,2,-1
Manchester United,Home,2,2,0
Aston Villa,Away,1,3,-2
Wolverhampton,Away,1,0,1
Brighton,Home,3,0,3
Arsenal,Away,0,3,-3
Brentford,Home,1,2,-1
Chelsea,Away,1,2,-1
