Opponent,Location,Team Score,Opponent Score,Goal Differential
Manchester City,Home,0.0,2.0,-2.0
Wolverhampton,Away,6.0,2.0,4.0
Crystal Palace,Home,1.0,1.0,0.0
Bournemouth,Away,1.0,0.0,1.0
West Ham,Away,3.0,0.0,3.0
Brighton,Home,4.0,2.0,2.0
Nottingham Forest,Home,1.0,1.0,0.0
Liverpool,Away,1.0,2.0,-1.0
Newcastle United,Home,2.0,1.0,1.0
Manchester United,Away,1.0,1.0,0.0
Arsenal,Home,1.0,1.0,0.0
Leicester City,Away,,,
Aston Villa,Home,,,
Southampton,Away,,,
Tottenham,Away,,,
Brentford,Home,,,
Everton,Away,,,
Fulham,Home,,,
Ipswich Town,Away,,,
Crystal Palace,Away,,,
Bournemouth,Home,,,
Wolverhampton,Home,,,
Manchester City,Away,,,
West Ham,Home,,,
Brighton,Away,,,
Aston Villa,Away,,,
Southampton,Home,,,
Leicester City,Home,,,
Arsenal,Away,,,
Tottenham,Home,,,
Brentford,Away,,,
Ipswich Town,Home,,,
Fulham,Away,,,
Everton,Home,,,
Liverpool,Home,,,
Newcastle United,Away,,,
Manchester United,Home,,,
Nottingham Forest,Away,,,
