Opponent,Location,Team Score,Opponent Score,Goal Differential
Brentford,Away,0,2,-2
Chelsea,Home,0,2,-2
Manchester City,Away,0,5,-5
Norwich,Home,1,0,1
Burnley,Away,1,0,1
Tottenham,Home,3,1,2
Brighton,Away,0,0,0
Crystal Palace,Home,2,2,0
Aston Villa,Home,3,1,2
Leeds United,Away,2,0,2
Watford,Home,1,0,1
Liverpool,Away,0,4,-4
Newcastle United,Home,2,0,2
Manchester United,Away,2,3,-1
Everton,Away,1,2,-1
Southampton,Home,3,0,3
West Ham,Home,2,0,2
Leicester City,Away,4,1,3
Norwich,Away,5,0,5
Manchester City,Home,1,2,-1
Burnley,Home,0,0,0
Wolverhampton,Away,1,0,1
Brentford,Home,2,1,1
Wolverhampton,Home,2,1,1
Watford,Away,3,2,1
Leeds United,Home,2,0,2
Liverpool,Home,0,2,-2
Aston Villa,Away,1,0,1
Crystal Palace,Away,0,3,-3
Brighton,Home,1,2,-1
Southampton,Away,0,1,-1
Chelsea,Away,4,2,2
Manchester United,Home,3,1,2
West Ham,Away,2,1,1
Leicester City,Home,2,1,1
Tottenham,Away,0,3,-3
Newcastle United,Away,0,2,-2
Everton,Home,5,1,4
