Opponent,Location,Team Score,Opponent Score,Goal Differential
Newcastle United,Away,0.0,1.0,-1.0
Nottingham Forest,Home,0.0,1.0,-1.0
Brentford,Away,1.0,3.0,-2.0
Manchester United,Home,0.0,3.0,-3.0
Ipswich Town,Home,1.0,1.0,0.0
Bournemouth,Away,1.0,3.0,-2.0
Arsenal,Away,1.0,3.0,-2.0
Leicester City,Home,2.0,3.0,-1.0
Manchester City,Away,0.0,1.0,-1.0
Everton,Home,1.0,0.0,1.0
Wolverhampton,Away,0.0,2.0,-2.0
Liverpool,Home,,,
Brighton,Away,,,
Chelsea,Home,,,
Aston Villa,Away,,,
Tottenham,Home,,,
Fulham,Away,,,
West Ham,Home,,,
Crystal Palace,Away,,,
Brentford,Home,,,
Manchester United,Away,,,
Nottingham Forest,Away,,,
Newcastle United,Home,,,
Ipswich Town,Away,,,
Bournemouth,Home,,,
Brighton,Home,,,
Chelsea,Away,,,
Liverpool,Away,,,
Wolverhampton,Home,,,
Crystal Palace,Home,,,
Tottenham,Away,,,
Aston Villa,Home,,,
West Ham,Away,,,
Fulham,Home,,,
Leicester City,Away,,,
Manchester City,Home,,,
Everton,Away,,,
Arsenal,Home,,,
