Opponent,Location,Team Score,Opponent Score,Goal Differential
Chelsea,Away,2.0,0.0,2.0
Ipswich Town,Home,4.0,1.0,3.0
West Ham,Away,3.0,1.0,2.0
Brentford,Home,2.0,1.0,1.0
Arsenal,Home,2.0,2.0,0.0
Newcastle United,Away,1.0,1.0,0.0
Fulham,Home,3.0,2.0,1.0
Wolverhampton,Away,2.0,1.0,1.0
Southampton,Home,1.0,0.0,1.0
Bournemouth,Away,1.0,2.0,-1.0
Brighton,Away,1.0,2.0,-1.0
Tottenham,Home,0.0,4.0,-4.0
Liverpool,Away,,,
Nottingham Forest,Home,,,
Crystal Palace,Away,,,
Manchester United,Home,,,
Aston Villa,Away,,,
Everton,Home,,,
Leicester City,Away,,,
West Ham,Home,,,
Brentford,Away,,,
Ipswich Town,Away,,,
Chelsea,Home,,,
Arsenal,Away,,,
Newcastle United,Home,,,
Liverpool,Home,,,
Tottenham,Away,,,
Nottingham Forest,Away,,,
Brighton,Home,,,
Leicester City,Home,,,
Manchester United,Away,,,
Crystal Palace,Home,,,
Everton,Away,,,
Aston Villa,Home,,,
Wolverhampton,Home,,,
Southampton,Away,,,
Bournemouth,Home,,,
Fulham,Away,,,
