Opponent,Location,Team Score,Opponent Score,Goal Differential
Nottingham Forest,Away,1.0,1.0,0.0
Newcastle United,Home,1.0,1.0,0.0
Everton,Away,3.0,2.0,1.0
Chelsea,Home,0.0,1.0,-1.0
Liverpool,Away,0.0,3.0,-3.0
Southampton,Home,3.0,1.0,2.0
Leicester City,Away,0.0,1.0,-1.0
Arsenal,Home,2.0,0.0,2.0
Aston Villa,Away,1.0,1.0,0.0
Manchester City,Home,2.0,1.0,1.0
Brentford,Away,2.0,3.0,-1.0
Brighton,Home,,,
Wolverhampton,Away,,,
Tottenham,Home,,,
Ipswich Town,Away,,,
West Ham,Home,,,
Manchester United,Away,,,
Crystal Palace,Home,,,
Fulham,Away,,,
Everton,Home,,,
Chelsea,Away,,,
Newcastle United,Away,,,
Nottingham Forest,Home,,,
Liverpool,Home,,,
Southampton,Away,,,
Wolverhampton,Home,,,
Brighton,Away,,,
Tottenham,Away,,,
Brentford,Home,,,
Ipswich Town,Home,,,
West Ham,Away,,,
Fulham,Home,,,
Crystal Palace,Away,,,
Manchester United,Home,,,
Arsenal,Away,,,
Aston Villa,Home,,,
Manchester City,Away,,,
Leicester City,Home,,,
