Opponent,Location,Team Score,Opponent Score,Goal Differential
West Ham,Away,2,0,2
Bournemouth,Home,4,0,4
Newcastle United,Away,3,3,0
Crystal Palace,Home,4,2,2
Nottingham Forest,Home,6,0,6
Aston Villa,Away,1,1,0
Wolverhampton,Away,3,0,3
Manchester United,Home,6,3,3
Southampton,Home,4,0,4
Liverpool,Away,0,1,-1
Brighton,Home,3,1,2
Leeds United,Away,1,0,1
Fulham,Home,2,1,1
Brentford,Home,1,2,-1
Leicester City,Away,3,1,2
Everton,Home,1,1,0
Chelsea,Away,1,0,1
Manchester United,Away,1,2,-1
Tottenham,Home,4,2,2
Wolverhampton,Home,3,0,3
Tottenham,Away,0,1,-1
Aston Villa,Home,3,1,2
Arsenal,Away,3,1,2
Nottingham Forest,Away,1,1,0
Bournemouth,Away,4,1,3
Newcastle United,Home,2,0,2
Crystal Palace,Away,1,0,1
Liverpool,Home,4,1,3
Southampton,Away,4,1,3
Leeds United,Home,3,1,2
Arsenal,Home,4,1,3
Fulham,Away,2,1,1
West Ham,Home,3,0,3
Leicester City,Home,2,1,1
Everton,Away,3,0,3
Chelsea,Home,1,0,1
Brighton,Away,1,1,0
Brentford,Away,0,1,-1
