Opponent,Location,Team Score,Opponent Score,Goal Differential
Crystal Palace,Home,2.0,1.0,1.0
Liverpool,Away,0.0,2.0,-2.0
Southampton,Home,3.0,1.0,2.0
Manchester City,Away,1.0,2.0,-1.0
Tottenham,Away,1.0,3.0,-2.0
West Ham,Home,1.0,1.0,0.0
Wolverhampton,Home,5.0,3.0,2.0
Manchester United,Away,1.0,2.0,-1.0
Ipswich Town,Home,4.0,3.0,1.0
Fulham,Away,1.0,2.0,-1.0
Bournemouth,Home,3.0,2.0,1.0
Everton,Away,,,
Leicester City,Home,,,
Aston Villa,Away,,,
Newcastle United,Home,,,
Chelsea,Away,,,
Nottingham Forest,Home,,,
Brighton,Away,,,
Arsenal,Home,,,
Southampton,Away,,,
Manchester City,Home,,,
Liverpool,Home,,,
Crystal Palace,Away,,,
Tottenham,Home,,,
West Ham,Away,,,
Leicester City,Away,,,
Everton,Home,,,
Aston Villa,Home,,,
Bournemouth,Away,,,
Newcastle United,Away,,,
Chelsea,Home,,,
Arsenal,Away,,,
Brighton,Home,,,
Nottingham Forest,Away,,,
Manchester United,Home,,,
Ipswich Town,Away,,,
Fulham,Home,,,
Wolverhampton,Away,,,
