Opponent,Location,Team Score,Opponent Score,Goal Differential
Manchester United,Away,0.0,1.0,-1.0
Leicester City,Home,2.0,1.0,1.0
Ipswich Town,Away,1.0,1.0,0.0
West Ham,Home,1.0,1.0,0.0
Newcastle United,Home,3.0,1.0,2.0
Nottingham Forest,Away,1.0,0.0,1.0
Manchester City,Away,2.0,3.0,-1.0
Aston Villa,Home,1.0,3.0,-2.0
Everton,Away,1.0,1.0,0.0
Brentford,Home,2.0,1.0,1.0
Crystal Palace,Away,2.0,0.0,2.0
Wolverhampton,Home,,,
Tottenham,Away,,,
Brighton,Home,,,
Arsenal,Home,,,
Liverpool,Away,,,
Southampton,Home,,,
Chelsea,Away,,,
Bournemouth,Home,,,
Ipswich Town,Home,,,
West Ham,Away,,,
Leicester City,Away,,,
Manchester United,Home,,,
Newcastle United,Away,,,
Nottingham Forest,Home,,,
Crystal Palace,Home,,,
Wolverhampton,Away,,,
Brighton,Away,,,
Tottenham,Home,,,
Arsenal,Away,,,
Liverpool,Home,,,
Bournemouth,Away,,,
Chelsea,Home,,,
Southampton,Away,,,
Aston Villa,Away,,,
Everton,Home,,,
Brentford,Away,,,
Manchester City,Home,,,
