Opponent,Location,Team Score,Opponent Score,Goal Differential
Brighton,Home,1,2,-1
Brentford,Away,0,4,-4
Liverpool,Home,2,1,1
Southampton,Away,1,0,1
Leeds United,Away,1,0,1
Arsenal,Home,3,1,2
Manchester City,Away,3,6,-3
Everton,Away,2,1,1
Newcastle United,Home,0,0,0
Tottenham,Home,2,0,2
Chelsea,Away,1,1,0
West Ham,Home,1,0,1
Aston Villa,Away,1,3,-2
Fulham,Away,2,1,1
Nottingham Forest,Home,3,0,3
Wolverhampton,Away,1,0,1
Bournemouth,Home,3,0,3
Manchester City,Home,2,1,1
Crystal Palace,Away,1,1,0
Arsenal,Away,2,3,-1
Crystal Palace,Home,2,1,1
Leicester City,Home,2,2,0
Leicester City,Away,2,0,2
Leeds United,Home,3,0,3
Liverpool,Away,0,7,-7
Southampton,Home,0,0,0
Newcastle United,Away,0,2,-2
Brentford,Home,1,0,1
Everton,Home,2,0,2
Nottingham Forest,Away,2,0,2
Tottenham,Away,2,2,0
Aston Villa,Home,1,0,1
Brighton,Away,0,1,-1
West Ham,Away,0,1,-1
Wolverhampton,Home,2,0,2
Bournemouth,Away,1,0,1
Chelsea,Home,4,1,3
Fulham,Home,2,1,1
