Opponent,Location,Team Score,Opponent Score,Goal Differential
Arsenal,Away,0.0,2.0,-2.0
Chelsea,Home,2.0,6.0,-4.0
Nottingham Forest,Away,1.0,1.0,0.0
Newcastle United,Home,1.0,2.0,-1.0
Aston Villa,Away,1.0,3.0,-2.0
Liverpool,Home,1.0,2.0,-1.0
Brentford,Away,3.0,5.0,-2.0
Manchester City,Home,1.0,2.0,-1.0
Brighton,Away,2.0,2.0,0.0
Crystal Palace,Home,2.0,2.0,0.0
Southampton,Home,2.0,0.0,2.0
Fulham,Away,4.0,1.0,3.0
Bournemouth,Home,,,
Everton,Away,,,
West Ham,Away,,,
Ipswich Town,Home,,,
Leicester City,Away,,,
Manchester United,Home,,,
Tottenham,Away,,,
Nottingham Forest,Home,,,
Newcastle United,Away,,,
Chelsea,Away,,,
Arsenal,Home,,,
Aston Villa,Home,,,
Liverpool,Away,,,
Bournemouth,Away,,,
Fulham,Home,,,
Everton,Home,,,
Southampton,Away,,,
West Ham,Home,,,
Ipswich Town,Away,,,
Tottenham,Home,,,
Manchester United,Away,,,
Leicester City,Home,,,
Manchester City,Away,,,
Brighton,Home,,,
Crystal Palace,Away,,,
Brentford,Home,,,
