Opponent,Location,Team Score,Opponent Score,Goal Differential
Liverpool,Home,0.0,2.0,-2.0
Manchester City,Away,1.0,4.0,-3.0
Fulham,Home,1.0,1.0,0.0
Brighton,Away,0.0,0.0,0.0
Southampton,Away,1.0,1.0,0.0
Aston Villa,Home,2.0,2.0,0.0
West Ham,Away,1.0,4.0,-3.0
Everton,Home,0.0,2.0,-2.0
Brentford,Away,3.0,4.0,-1.0
Leicester City,Home,1.0,1.0,0.0
Tottenham,Away,2.0,1.0,1.0
Manchester United,Home,,,
Nottingham Forest,Away,,,
Crystal Palace,Home,,,
Bournemouth,Home,,,
Wolverhampton,Away,,,
Newcastle United,Home,,,
Arsenal,Away,,,
Chelsea,Home,,,
Fulham,Away,,,
Brighton,Home,,,
Manchester City,Home,,,
Liverpool,Away,,,
Southampton,Home,,,
Aston Villa,Away,,,
Tottenham,Home,,,
Manchester United,Away,,,
Crystal Palace,Away,,,
Nottingham Forest,Home,,,
Bournemouth,Away,,,
Wolverhampton,Home,,,
Chelsea,Away,,,
Arsenal,Home,,,
Newcastle United,Away,,,
Everton,Away,,,
Brentford,Home,,,
Leicester City,Away,,,
West Ham,Home,,,
