Opponent,Location,Team Score,Opponent Score,Goal Differential
Brentford,Away,1.0,2.0,-1.0
West Ham,Home,0.0,2.0,-2.0
Chelsea,Away,1.0,1.0,0.0
Leicester City,Home,2.0,2.0,0.0
Manchester United,Home,0.0,0.0,0.0
Everton,Away,1.0,2.0,-1.0
Liverpool,Home,0.0,1.0,-1.0
Nottingham Forest,Away,0.0,1.0,-1.0
Tottenham,Home,1.0,0.0,1.0
Wolverhampton,Away,2.0,2.0,0.0
Fulham,Home,0.0,2.0,-2.0
Aston Villa,Away,,,
Newcastle United,Home,,,
Ipswich Town,Away,,,
Manchester City,Home,,,
Brighton,Away,,,
Arsenal,Home,,,
Bournemouth,Away,,,
Southampton,Home,,,
Chelsea,Home,,,
Leicester City,Away,,,
West Ham,Away,,,
Brentford,Home,,,
Manchester United,Away,,,
Everton,Home,,,
Fulham,Away,,,
Aston Villa,Home,,,
Ipswich Town,Home,,,
Newcastle United,Away,,,
Southampton,Away,,,
Brighton,Home,,,
Manchester City,Away,,,
Bournemouth,Home,,,
Arsenal,Away,,,
Nottingham Forest,Home,,,
Tottenham,Away,,,
Wolverhampton,Home,,,
Liverpool,Away,,,
