Opponent,Location,Team Score,Opponent Score,Goal Differential
Everton,Away,3.0,0.0,3.0
Manchester United,Home,2.0,1.0,1.0
Arsenal,Away,1.0,1.0,0.0
Ipswich Town,Home,0.0,0.0,0.0
Nottingham Forest,Home,2.0,2.0,0.0
Chelsea,Away,2.0,4.0,-2.0
Tottenham,Home,3.0,2.0,1.0
Newcastle United,Away,1.0,0.0,1.0
Wolverhampton,Home,2.0,2.0,0.0
Liverpool,Away,,,
Manchester City,Home,,,
Bournemouth,Away,,,
Southampton,Home,,,
Fulham,Away,,,
Leicester City,Away,,,
Crystal Palace,Home,,,
West Ham,Away,,,
Brentford,Home,,,
Aston Villa,Away,,,
Arsenal,Home,,,
Ipswich Town,Away,,,
Manchester United,Away,,,
Everton,Home,,,
Nottingham Forest,Away,,,
Chelsea,Home,,,
Southampton,Away,,,
Bournemouth,Home,,,
Fulham,Home,,,
Manchester City,Away,,,
Aston Villa,Home,,,
Crystal Palace,Away,,,
Leicester City,Home,,,
Brentford,Away,,,
West Ham,Home,,,
Newcastle United,Home,,,
Wolverhampton,Away,,,
Liverpool,Home,,,
Tottenham,Away,,,
