Opponent,Location,Team Score,Opponent Score,Goal Differential
West Ham,Away,2.0,1.0,1.0
Arsenal,Home,0.0,2.0,-2.0
Leicester City,Away,2.0,1.0,1.0
Everton,Home,3.0,2.0,1.0
Wolverhampton,Home,3.0,1.0,2.0
Ipswich Town,Away,2.0,2.0,0.0
Manchester United,Home,0.0,0.0,0.0
Fulham,Away,3.0,1.0,2.0
Bournemouth,Home,1.0,1.0,0.0
Tottenham,Away,1.0,4.0,-3.0
Liverpool,Away,0.0,2.0,-2.0
Crystal Palace,Home,2.0,2.0,0.0
Chelsea,Away,,,
Brentford,Home,,,
Southampton,Home,,,
Nottingham Forest,Away,,,
Manchester City,Home,,,
Newcastle United,Away,,,
Brighton,Home,,,
Leicester City,Home,,,
Everton,Away,,,
Arsenal,Away,,,
West Ham,Home,,,
Wolverhampton,Away,,,
Ipswich Town,Home,,,
Chelsea,Home,,,
Crystal Palace,Away,,,
Brentford,Away,,,
Liverpool,Home,,,
Brighton,Away,,,
Nottingham Forest,Home,,,
Southampton,Away,,,
Newcastle United,Home,,,
Manchester City,Away,,,
Fulham,Home,,,
Bournemouth,Away,,,
Tottenham,Home,,,
Manchester United,Away,,,
