Opponent,Location,Team Score,Opponent Score,Goal Differential
Manchester City,Home,0,3,-3
Aston Villa,Home,1,3,-2
Tottenham,Home,2,5,-3
Nottingham Forest,Away,1,1,0
Manchester United,Home,0,1,-1
Newcastle United,Away,0,2,-2
Luton,Away,2,1,1
Chelsea,Home,1,4,-3
Brentford,Away,0,3,-3
Bournemouth,Away,1,2,-1
Crystal Palace,Home,0,2,-2
Arsenal,Away,1,3,-2
West Ham,Home,1,2,-1
Sheffield,Home,5,0,5
Wolverhampton,Away,0,1,-1
Brighton,Away,1,1,0
Everton,Home,0,2,-2
Fulham,Away,2,0,2
Liverpool,Home,0,2,-2
Aston Villa,Away,2,3,-1
Luton,Home,1,1,0
Manchester City,Away,1,3,-2
Fulham,Home,2,2,0
Liverpool,Away,1,3,-2
Arsenal,Home,0,5,-5
Crystal Palace,Away,0,3,-3
Bournemouth,Home,0,2,-2
West Ham,Away,2,2,0
Brentford,Home,2,1,1
Chelsea,Away,2,2,0
Wolverhampton,Home,1,1,0
Everton,Away,0,1,-1
Brighton,Home,1,1,0
Sheffield,Away,4,1,3
Manchester United,Away,1,1,0
Newcastle United,Home,1,4,-3
Tottenham,Away,1,2,-1
Nottingham Forest,Home,1,2,-1
