Opponent,Location,Team Score,Opponent Score,Goal Differential
Liverpool,Home,0,3,-3
Manchester City,Away,0,5,-5
Leeds United,Home,1,2,-1
Arsenal,Away,0,1,-1
Watford,Home,1,3,-2
Everton,Away,0,2,-2
Burnley,Away,0,0,0
Brighton,Home,0,0,0
Chelsea,Away,0,7,-7
Leicester City,Home,1,2,-1
Brentford,Away,2,1,1
Southampton,Home,2,1,1
Wolverhampton,Home,0,0,0
Newcastle United,Away,1,1,0
Tottenham,Away,0,3,-3
Manchester United,Home,0,1,-1
Aston Villa,Home,0,2,-2
Arsenal,Home,0,5,-5
Crystal Palace,Away,0,3,-3
West Ham,Away,0,2,-2
Everton,Home,2,1,1
Watford,Away,3,0,3
Crystal Palace,Home,1,1,0
Manchester City,Home,0,4,-4
Liverpool,Away,1,3,-2
Southampton,Away,0,2,-2
Brentford,Home,1,3,-2
Chelsea,Home,1,3,-2
Leicester City,Away,1,2,-1
Brighton,Away,0,0,0
Burnley,Home,2,0,2
Manchester United,Away,2,3,-1
Newcastle United,Home,0,3,-3
Aston Villa,Away,0,2,-2
West Ham,Home,0,4,-4
Leeds United,Away,0,3,-3
Wolverhampton,Away,1,1,0
Tottenham,Home,0,5,-5
