Opponent,Location,Team Score,Opponent Score,Goal Differential
Arsenal,Home,2,0,2
Crystal Palace,Away,0,0,0
Aston Villa,Away,1,1,0
Brighton,Home,0,1,-1
Wolverhampton,Away,2,0,2
Liverpool,Home,3,3,0
West Ham,Away,2,1,1
Chelsea,Home,0,1,-1
Leeds United,Home,1,2,-1
Burnley,Away,1,3,-2
Norwich,Home,1,2,-1
Newcastle United,Away,3,3,0
Everton,Home,1,0,1
Tottenham,Away,0,2,-2
Leicester City,Away,2,2,0
Watford,Home,2,1,1
Brighton,Away,0,2,-2
Manchester City,Home,0,1,-1
Aston Villa,Home,2,1,1
Southampton,Away,1,4,-3
Liverpool,Away,0,3,-3
Manchester United,Home,1,3,-2
Wolverhampton,Home,1,2,-1
Manchester City,Away,0,2,-2
Crystal Palace,Home,0,0,0
Arsenal,Away,1,2,-1
Newcastle United,Home,0,2,-2
Norwich,Away,3,1,2
Burnley,Home,2,0,2
Leeds United,Away,1,2,-1
Chelsea,Away,4,1,3
West Ham,Home,2,0,2
Watford,Away,2,1,1
Tottenham,Home,0,0,0
Manchester United,Away,0,3,-3
Southampton,Home,3,0,3
Everton,Away,3,2,1
Leicester City,Home,1,2,-1
